"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","ANAP 1033","Anatomy and Physiology for Pharmacy Technicians","Anatomy and Physiology for Pharmacy Technicians This course covers basic anatomy and physiology of the body. For each body system, the normal structure and function of the body will be identified. The pathophysiology of the various body systems will be covered. "
"2","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1000","Pharmacy Fundamentals","Pharmacy Fundamentals This course covers basic pharmacy information including dosage form, routes of administration, medical terminology, prescription abbreviations, drug development and good manufacturing practices. "
"3","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1002","Community Pharmacy Theory","Community Pharmacy Theory This course provides the learner with an understanding of the interlocking roles, duties and responsibilities of the pharmacy staff in a community pharmacy. The learner will become familiar with all aspects of the community pharmacy. "
"4","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1003","Compounding Lab","Compounding Lab This course provides the learner with knowledge and skills needed to compound non-sterile products. Emphasis is placed on accuracy and the preparation of a pharmaceutically elegant product. "
"5","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1004","Pharmaceutical Calculations I","Pharmaceutical Calculations I This course covers the mathematical skills necessary in the practice of pharmacy with emphasis on accuracy. The learner is taught the mathematical knowledge and skills required to prepare a prescription for both hospital and community pharmacy practice. Careful attention is placed on accuracy that is essential when measuring, weighing, and calculating quantities of ingredients required for compounding both sterile and non-sterile products and dispensing pharmaceuticals. In addition, a review of the pharmaceutical short forms and symbols, metric and imperial measures and their conversion is provided. "
"6","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1005","Communication for Pharmacy Technicians","Communication for Pharmacy Technicians This course provides the learner with an overview of the communication skills required in the Pharmacy industry. Learners will apply verbal and nonverbal communication skills required to be successful in the workplace as a pharmacy technician. "
"7","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1007","Orientation to Pharmacy Practice","Orientation to Pharmacy Practice This course covers provincial and federal laws, regulations and standards of practice that govern the practice of pharmacy in Nova Scotia. Emphasis is placed on the interlocking roles of the regulated pharmacy technician and pharmacist. "
"8","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1010","Pharmacology I","Pharmacology I This course covers medications that are used to treat, prevent or modify diseases and conditions. Focus is on the mechanism of actions, effects, side effects and contraindications. Brand and generic names of medications are emphasized as the profession requires pharmacy technicians to identify interchangeable products. "
"9","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1012","Community Pharmacy Lab I","Community Pharmacy Lab I This course provides the learner with basic concepts involved in prescription processing in a community pharmacy. Learners will be provided with an opportunity to participate in simulated customer communication encountered in the workplace. "
"10","Nova Scotia Community College (NSCC)","Pharmacy Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PHRD&pln=PHARMTECHD","PHRD 1017","Over-the-Counter Therapeutics","Over-the-Counter Therapeutics This course introduces medications and treatments that are available in a community pharmacy for patient self-selection. Over-the-counter (OTC) drugs, natural health products and other complementary treatments are covered. "
