"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1001","Ferrous Piping","Ferrous Piping This course introduces ferrous piping materials used in the piping trades. Joining methods and installation of ferrous pipe will be addressed and practiced in a workshop setting. Course material also includes hangers and supports required for ferrous piping systems.. "
"3","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1003","Applied Pipe Trade Math I","Applied Pipe Trade Math I In this course, the learner will improve math skills to the level required by an apprentice in the Pipe Trades. The course concentrates on the skills that will allow the learner to efficiently solve equations and formulas encountered in industry. This course emphasizes practical problem solving while it attempts to increase overall competency in mathematics. "
"4","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1004","Non-Ferrous Piping","Non-Ferrous Piping This course introduces non-ferrous (non-steel) piping materials used in the trade and the techniques used to join various non-ferrous piping materials. Material also includes the use of hangers and supports as they are required for piping systems. "
"5","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1007","Applied Pipe Trade Math II","Applied Pipe Trade Math II Learners will advance their math skills by applying these skills to practical applications. The course concentrates on the skills that will allow the learner to efficiently solve equations and formulas encountered in industry. This course emphasizes practical problem solving. "
"6","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1009","Introduction to Electric and Fuel Welding and Cutting","Introduction to Electric and Fuel Welding and Cutting This course is designed to develop the skills to safely assemble, adjust, disassemble and store oxy-fuel cutting/welding and electric welding equipment. Learners will be introduced to welding codes and standards, electric welding and oxy-fuel cutting processes in a shop environment. Learners will have the opportunity to carry out simple welding and cutting tasks. "
"7","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1010","Introduction to Pipe Fabrication","Introduction to Pipe Fabrication This course introduces the calculations needed to fabricate spool pieces for use in the pipe trade. Learners will apply blueprint interpretation and create working piping drawings and perform basic fabrication tasks. "
"8","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1012","Portfolio Workplace Shadowing I","Portfolio Workplace Shadowing I Learners will connect with industry to observe some of the trade-related duties in the workplace. Learners will identify the attitudes and behaviours that enable and enhance the ability to work successfully in piping trades. "
"9","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1013","Introduction to Sustainable Energy Systems","Introduction to Sustainable Energy Systems This course introduces sustainable energy systems that involve installation of piping. Learners will be given an overview of their applications, operation and piping requirements. "
"10","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1014","Portfolio Workplace Shadowing II","Portfolio Workplace Shadowing II This course allows learners to build on their knowledge of workplace practices and behaviours. "
"11","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1015","Blueprint Interpretation and Plan Reading I","Blueprint Interpretation and Plan Reading I This course introduces the theory and practice required to read plans and blueprints. Learners will have the opportunity to apply the fundamentals of blueprint interpretation and produce drawings and sketches used in the piping trades. "
"12","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1016","Blueprint Interpretation and Plan Reading II","Blueprint Interpretation and Plan Reading II This course allows learners to build on their ability to read drawings and prints with specific reference to piping systems. "
"13","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1017","Safety","Safety Safety is the most important factor on the job site and in the shop. Trades people need to work in ways that will protect themselves and others from accident and injury, and to take appropriate action should an accident occur. This course provides a grounding for the safety that will be practised in every course of the program. "
"14","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1018","Tools and Equipment","Tools and Equipment Learners will demonstrate the use of tools and equipment used in the piping trades. An emphasis will be given to construction and industrial safety practices when using equipment on the job site. "
"15","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1019","Introduction to Quality Control","Introduction to Quality Control Quality affects every aspect of a building project from costs, to scheduling and organization. In this course you will learn about the factors that affect quality in a piping project. Topics like non-destructive testing will be introduced and you will get a sense of how your work in the trade contributes to cost control and sustainability in the industry. "
"16","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 1020","Introduction to Sprinkler Systems","Introduction to Sprinkler Systems Although it has a lot in common with other piping trades, the Sprinkler System Installer trade has many unique aspects. This course will introduce you some of the equipment, materials, and work you will need to carry out in this trade. "
"17","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 3003","Introduction to Hydronic Heating","Introduction to Hydronic Heating In this course the fundamentals of hydronic heating are explored. Learners will have an opportunity to install boilers and piping systems for a residential building. "
"18","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 3004","Introduction to Drainage Systems","Introduction to Drainage Systems This course introduces the learner to basic residential plumbing drainage systems. Terminology, components and installation practices will be explored. Learners will have the opportunity to install a simulated basic residential drainage system. Learners will demonstrate knowledge of ferrous piping materials used in the plumbing trade and the ability to join various ferrous piping materials. This course also includes the use of hangers and supports, as they are required for piping systems. "
"19","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 3005","Introduction to Venting Systems","Introduction to Venting Systems This course introduces the learner to basic residential plumbing venting systems. Terminology, components and installation practices will be explored. Learners will have the opportunity to install a simulated basic residential venting system. "
"20","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 3006","Introduction to Water Supply","Introduction to Water Supply This course introduces the residential water system from the street water main to the faucets and outlets including the components, installation practices, and code requirements. Learners will also examine equipment, piping, and valves required for the supply of residential potable water. "
"21","Nova Scotia Community College (NSCC)","Pipe Trades","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=PIPE&pln=PIPETRADES","PIPT 3007","Introduction to Plumbing Appliances, Fixtures and Trim","Introduction to Plumbing Appliances, Fixtures and Trim This course introduces plumbing fixtures and their accessories. Material covers procedures used for basic installation, maintenance and repair of fixtures used in residential plumbing systems. "
