"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 3000","Diversity and the Media","Diversity and the Media This course examines the media’s role in shaping perceptions about social groups and the ways in which these groups are sometimes underrepresented or misrepresented by the media. Learners will learn how to more accurately and thoughtfully report on issues across differences of race, culture, ethnicity, gender and sexual orientation through a combination of in-class and in-the-field work. They will also learn to reflect critically on their own role in telling the stories of others. "
"2","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 3020","Electronic News Gathering Production Techniques","Electronic News Gathering Production Techniques This course will further enhance and continue to provide the learner with Electronic News Gathering techniques and industry standard practices most commonly used in field and/or mobile production. Using a variety of digital video cameras, learners will record stories on a weekly basis as part of a production team.A major emphasis is the practical ongoing assigned projects including those in concert with Television Operations III and Advanced Digital Editing courses. "
"3","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 3050","Media Law and Ethics","Media Law and Ethics This course provides an introduction to legal and ethical issues as they apply to the media in Canada and the connection between the rights of, and restrictions on, journalists as it pertains to freedom of expression and freedom of the press. Knowledge of the law can assist media professionals in their day-to-day activities. Ethical values like fairness, respect, and truthfulness can guide them in their decision-making. Familiarity with the law as it applies to copyright, defamation, and other areas can help them assess the limits of what they can do. Current cases in the news as well as those media professionals will be used as lesson examples. "
"4","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 3400","Television Operations III","Television Operations III This course is designed to provide the learner with advanced studio techniques and practical experience in the application of theoretical knowledge to all phases of TV News production. This course will cover the various production equipment within our training facility. A major emphasis is the practical ongoing assigned projects including those in concert with ENG Production Techniques and Advanced Digital Editing courses. The learners work as part of a team on a weekly production including a News Magazine program. "
"5","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 3600","Advanced Digital Editing","Advanced Digital Editing The course will explore various editing software applications. Learners will use a variety of editing tools to effectively tell stories for Broadcast, Mobile and Web. Software includes but not limited to: Avid Media Composer, Adobe Premiere, Adobe After Effects, Adobe Photoshop and Final Cut Pro. A major emphasis is the practical ongoing assigned projects including those in concert with ENG Production Techniques and Television Operations III courses. "
"6","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 4000","Media Entrepreneurship","Media Entrepreneurship This course develops fundamental skills associated with entrepreneurial awareness and approaches in the media industries. It will expose learners to resources and tools available to support self- employment initiatives and help identify personal skill sets and strengths aligned to traditional employment models and the growing freelance market place. "
"7","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 4050","Mechanics of Media Writing II","Mechanics of Media Writing II This course builds on the fundamentals of media writing introduced in first year. Learners will focus on key principles and specific requirements of writing for TV, radio and online media. Learners will have the opportunity to work with a range of source material in developing and writing stories. "
"8","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 4400","Television Operations IV","Television Operations IV This course is designed to provide the learner with intensive practical experience in the application of theoretical knowledge to all phases of TV Magazine Style production. The learners work as part of a team to produce a weekly Magazine Style program. "
"9","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 4500","Work Experience II","Work Experience II The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep an electronic journal. This is a course of 120 hours spread over five weeks. "
"10","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 4600","Television Major Project","Television Major Project This course is designed to prepare the learners for industry realistic production activities. Working with external clients, the learner will produce industry standard content for Broadcast, online and mobile platforms. "
"11","Nova Scotia Community College (NSCC)","Radio Television Journalism - Television Production Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=RTVJ&pln=RTVJ-TELEV","RTVJ 4800","Digital Portfolio","Digital Portfolio This course is designed to guide learners through the process of building an online portfolio. This course will introduce learners to various Digital Media tools used to create portfolio content. "
