"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"4","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"5","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SAFE 1025","Certified Fall Arrest and Protection","Certified Fall Arrest and Protection This course provides participants with an understanding of the hazards associated with working from heights and compliance with Workplace Health and Safety Regulations (2013). Throughout the course, participants will gain experience in the donning of a harness, an overview and presentation of system components involved when working from heights and learn how to complete a fall calculation and emergency procedures. "
"6","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1001","Safety and Rigging","Safety and Rigging Learners will learn about site and shop safety practices, personal safety practices, basic body mechanics, fire safety procedures, and Workplace Hazardous Materials Information Systems (WHMIS). Learners will use the Occupational Health and Safety Act and accompanying Regulations that apply to each of these areas. "
"7","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1003","Tools and Equipment","Tools and Equipment Learners will learn about the hand tools used for sheet metal; how to select, safely use, organize, store, and care for a wide variety of hand tools and non-powered equipment. Learners will have the opportunity to apply safe work habits and good housekeeping in a workshop setting. "
"8","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1016","Fabrication and Installation Fundamentals I","Fabrication and Installation Fundamentals I This course introduces layout procedures in the shop along with special considerations when developing patterns for duct and fittings to be fabricated. The procedures used to assemble the fittings will be discussed. Students will have the opportunity to develop hands-on skills for fabrication and basic installation procedures in a shop setting. "
"9","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1017","Pattern Development and Layout","Pattern Development and Layout This course introduces the laying out of sheet metal projects. Types of layout including simple, parallel line, radial line, and triangulation will be discussed as well as the different views required to achieve each method of layout. Students will have the opportunity to develop and lay out sheet metal projects using the straight line method in a shop setting. "
"10","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1018","Basic Math","Basic Math Accurate measurement and calculation are essential skills in performing sheet metal work. Students will solve mathematical problems from a trade perspective using whole numbers, fractions, decimals, metric and imperial measurement, ratio and proportion, percent, powers and roots, formulas, perimeters, areas, volumes, triangles, angles, and geometric construction. "
"11","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1019","Introduction to Air Handling","Introduction to Air Handling Students will become familiar with a wide range of HVAC equipment and understand its role in air handling systems. Basic installation techniques will be introduced with a hands-on approach to learning. "
"12","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1020","Print Reading and Sketching","Print Reading and Sketching Instructions and drawings are a necessary part of planning and performing work in the trade. Students develop basic skills in reading and interpreting working drawings such as orthographic, isometric, and perspective along with the “alphabet of lines” used in mechanical drawings. Students will be exposed to elements in drawings that apply to other aspects of the construction project to see the pieces relevant to the Sheet Metal Worker trade in an authentic context. "
"13","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1021","Metallurgy, Welding and Cutting","Metallurgy, Welding and Cutting Students will be introduced to the terminology and properties of metals, types of sheet metals, structural shapes and sheet metal applications. Topics will include standard sizes and weights of sheet metal along with storage and handling procedures. Course material addresses the theory, equipment, and techniques required for successful gas metal arc welding. Topics will include: GMAW safety practices, equipment set-up, transfer modes, wire selection, shielded gas selection, as well as joints in all positions. Plasma Arc cutting will also be introduced. Equipment set-up, cutting modes, fitting imaging for layout, computer operation, and equipment maintenance will be addressed. Safety will be stressed throughout the course. "
"14","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1022","Power Tools and Equipment","Power Tools and Equipment Students will learn how to select, safely use, organize, store, and care for a wide variety of power tools and equipment used in the Sheet Metal Worker trade. Students will have the opportunity to apply safe work habits and good housekeeping through projects carried out in a workshop setting. "
"15","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1023","Applied Mathematics","Applied Mathematics Students will extend and apply math skills to problems encountered in the sheet metal industry. Course material includes trigonometry, ratios, formulas, triangles, angles, conversions and geometric problems. "
"16","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1024","Fabrication and Installation Fundamentals II","Fabrication and Installation Fundamentals II In this project-based course students will be engaged in planning, fabrication and installation of a basic heating duct system. "
"17","Nova Scotia Community College (NSCC)","Sheet Metal Systems","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SHMS&pln=SHTMTLSYS","SHEET 1225","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
