"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"2","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"3","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 1000","Surveying I","Surveying I This course will introduce the learner to methods of plane surveying and will illustrate how these methods apply to field projects. Topics include levelling, directions, and angle measurement, distance measurement, traversing, and coordinates. "
"4","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 1001","Survey Mathematics","Survey Mathematics This course introduces the learner to the concepts of geometry, analytic geometry, and trigonometry, as they relate to survey related applications. The course is taught in a graphical, numerical and analytical manner, with extensive use of worked examples. "
"5","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 1006","Fieldwork I","Fieldwork I This course will introduce the learner to the care and use of surveying instruments and equipment as well as methods of survey. In addition, the learner must learn to function effectively as part of a team. Topics of study include levelling, angle measurement, distance measurement and site survey. "
"6","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 1011","Introduction to AutoCAD","Introduction to AutoCAD The objective of this course is to provide a general introduction to drafting within a CAD environment. This course introduces learners to the latest AutoCAD software drafting package. Learners learn basic AutoCAD commands with a focus on Geomatics. "
"7","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 1018","Communications Fundamentals","Communications Fundamentals This course introduces learners to concepts of effective communication in a technical environment and particularly to working effectively in teams. It further introduces the concept of portfolio and demonstrates its effectiveness in professional development and career planning through resume writing and job search skills as well as writing and oral presentation skills. "
"8","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2004","Advanced Mapping","Advanced Mapping This course continues exploration of the creation and use of maps and aerial photographs. Learners will advance performance of various types of measurements on photographs and maps and will also be able to interpret information about the earth's surface and features from various sources. "
"9","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2007","Surveying II","Surveying II This course will build on the concepts and principles learned in Surveying I with the study of horizontal and vertical curves, intersections, land partitioning, and earthworks. In addition, an industry-standard surveying software package will be utilized throughout this course. "
"10","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2008","Automated Drafting and Coordinate Geometry","Automated Drafting and Coordinate Geometry This course integrates basic concepts of AutoCAD drawing commands with a focus on Land Survey applications. This course will also introduce the learner to Carlson Survey. This program has become widely accepted by the surveying community in Canada and in the United States. Learners will draft and compile plans to the set of standards that have been set out in the Nova Scotia Land Surveyors Act and Regulations. "
"11","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2009","Introduction to Geodesy and Map Projections","Introduction to Geodesy and Map Projections This course provides learners an introduction to the concepts of geodesy and map projections as used in the geomatics industry. The course explains how ellipsoids and datums are used to model the shape of the earth and how datums are used to provide geographically referenced positions. The characteristics of map projections are examined, including reasons for selecting a specific map projection based on map purpose. Additionally, methods used to reduce field observations to the mapping plane surface are emphasized. In this course, students will complete a number of practical exercises using proprietary software and manual calculations. "
"12","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2013","Survey Law","Survey Law This course will introduce the learner to a variety of legal and/or surveying concepts. The course is lecture based. A number of assignments and tests are given through the term. "
"13","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2015","Fieldwork II","Fieldwork II This course will build on the skills and knowledge acquired in the first semester fieldwork and theory courses as well as the current curriculum by utilizing on-board Total Station software and GPS technology to perform practical field exercises. Once again, the learner must learn to function effectively as part of a team. Topics include coordinate layout, legal surveys, remote coordinate determination, horizontal curves, slope staking and interlining. "
"14","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2018","Technical Writing","Technical Writing This course will introduce learners to concepts of effective communication in a technical environment, and particularly to working effectively in teams. It further introduces the concept of portfolio and demonstrates its effectiveness in professional development and career planning. This course will develop technical writing and oral presentation skills. "
"15","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2019","Global Navigation Satellite System","Global Navigation Satellite System This course provides the learner with an overview of the Global Navigation Satellite System (GNSS), its segments and Clear or Coarse Acquisition (C/A) code observation techniques. The learner also receives an introduction to datums as they pertain to GNSS, and GNSS field procedures for mapping and Geographic Information System (GIS) data capture. "
"16","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2031","Advanced Computer Applications","Advanced Computer Applications This course will expand upon the learning acquired in Introduction to Computer Applications. Microsoft Excel will be explored further to gain a more in depth understanding of the numerous functions available for problem solving in a technical setting. Automation of Excel through macros and the background VBA (Visual Basic for Applications) programming language will be introduced. "
"17","Nova Scotia Community College (NSCC)","Survey Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=SUTN&pln=SURVTECH","SUTN 2501","Field Camp","Field Camp This course will apply all of the aspects of surveying that the learner has been introduced to during the year. Once again the learner must learn to function effectively as part of a team. Topics include subdivision layout, route design, Ordinary High Water Mark determination, location certificate survey, digital site survey and evidence quest. "
