"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","ACTG 1015","Basic Accounting for Managers","Basic Accounting for Managers This course introduces learners to the role that accounting plays in the managerial decision making process. Learners will have an opportunity to create financial statements and learn how business decisions are influenced from a financial perspective. "
"2","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","COMM 1205","Communications","Communications"
"3","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","COMP 1105","Business Computer Technology","Business Computer Technology This course provides students with an introduction to acceptable practices and uses of the computer, including the role of social media in Business. It provides the foundation for using computers that will contribute to success in both the Business Administration program and future careers.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB). "
"4","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","COMP 2110","Spreadsheets I","Spreadsheets I This course introduces the student to electronic spreadsheets including their design and creation. Formulae and functions will be used to perform calculations on the spreadsheet data providing business solutions. Students will apply formatting skills to enhance the appearance and clarity of printed spreadsheets as well as using graphs to represent spreadsheet data.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB).This course cannot be used to fulfill an elective requirement for students in Office Administration. "
"5","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"6","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"7","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","TRHS 1000","Introduction to Tourism","Introduction to Tourism The learner will explore regional as well as global issues and trends in tourism. This exploration will begin with an examination of the Nova Scotia tourism sector, how it operates and what roles the learner may wish to pursue for further study and employment. This course will also focus on the economic, socio-cultural and environmental impact of tourism and tourism development from a national and global perspective. "
"8","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","TRHS 1020","Guest Service Essentials","Guest Service Essentials Tourism is a service based industry. This course is aimed at identifying and applying service techniques that consistently meet industry standards and customer needs. Service excellence is an integral part of attracting and retaining customers. Industry standards and personal management skills will be examined and applied. "
"9","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","TRHS 1030","Food and Beverage Service Foundations","Food and Beverage Service Foundations In this course, learners will gain a basic understanding of the principles of food and beverage operations. Using an applied approach, learners will explore service styles, bartending skills and a variety of foodservice operations. "
"10","Nova Scotia Community College (NSCC)","Tourism Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=TRHS&pln=TOURIHOSP","TRHS 1040","Introduction to Tourism Marketing","Introduction to Tourism Marketing In this course, learners will explore consumer behaviour, marketing research, branding and consumer travel trends, as well as unique aspects of the tourism industry. Learners will also be introduced to marketing strategies and opportunities in the context of social media. "
