"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Automne",NA,NA
"2","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","ADM1207-17"," Comptabilité financière I",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","ADM1501-13"," Mathématiques financières",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","BUR1103-03"," Procédures organisationnelles de bureau I",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","BUR1108-15"," Vitesse et précision du doigté",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","INF1119-18"," Informatique et bureautique I",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Cote et titre",NA,NA
"8","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Automne - 1re année",NA,NA
"9","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","ENG1120-19"," Writing and Reading (CLB 5)",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","OU",NA,NA
"11","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","FRA1215-19"," Français écrit",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Cote et titre",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Hiver",NA,NA
"14","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","ADM1404-15"," Notions de marketing et les médias sociaux",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","ADM1602-13"," Vente et service à la clientèle",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","BUR1104-13"," Gestion de documents I",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","BUR2104-07"," Résolution de problèmes - éthique",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","ENG2010-19"," Business English: Writing and Reading (CLB 6)",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","FRA2205-19"," Français de bureau",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","HUM2103-14"," Techniques de communication",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","INF1121-18"," Informatique/bureautique II",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Cote et titre",NA,NA
"23","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","Printemps",NA,NA
"24","Université Sainte-Anne - Collège de l'Acadie","Adjoint administratif bilingue","https://etudescollegiales.ca/adjoint-administratif-bilingue","BUR1907-15"," Stage en milieu de travail",NA
