"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Automne",NA,NA
"2","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","ADM1207-17"," Comptabilité financière I",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","ADM1501-13"," Mathématiques financières",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","BUR1103-03"," Procédures organisationnelles de bureau I",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","BUR1108-15"," Vitesse et précision du doigté",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","INF1119-18"," Informatique et bureautique I",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Cote et titre",NA,NA
"8","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Automne - 1re année",NA,NA
"9","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","ENG1120-19"," Writing and Reading (CLB 5)",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","OU",NA,NA
"11","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","FRA1215-19"," Français écrit",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Cote et titre",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Hiver",NA,NA
"14","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","BUR1104-13"," Gestion de documents I",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","BUR2104-07"," Résolution de problèmes - éthique",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","ENG2010-19"," Business English: Writing and Reading (CLB 6)",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","FRA2205-19"," Français de bureau",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","HUM1207-17"," Appareil gouvernemental et fonction publique canadienne",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","HUM2103-14"," Techniques de communication",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","INF1121-18"," Informatique/bureautique II",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Cote et titre",NA,NA
"22","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","Printemps",NA,NA
"23","Université Sainte-Anne - Collège de l'Acadie","Agent de bureau gouvernemental","https://etudescollegiales.ca/agent-de-bureau-gouvernemental","BUR1909-15","",NA
