"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","DROI 2023","Introduction au droit commercial ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","COMM 1013","Comptabilité financière I ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","COMM 1023","Comptabilité financière II ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","FINA 2113","Mathématiques financières ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","FINA 3013","Gestion financière I ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 1133","Informatique et bureautique I ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 2113","Principes de management I ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 2033","Principes de marketing ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 2133","Informatique et bureautique II ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 2123","Principes de management II ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 3123","Théories organisationnelles ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN 4193","Gestion des ressources humaines ",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","FR/AD 2233","Français des affaires ",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","COMM 3143","Comptabilité de gestion ",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","9 crédits ADMN 3000+",NA,NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ADMN",NA,NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","COMM",NA,NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","FINA",NA,NA
"19","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","DROI",NA,NA
"20","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ECON 1013","Principes micro-économiques ",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","ECON 1023","Principes macro-économiques ",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","et 6 crédits",NA,NA
"23","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en administration des affaires","https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires","MATH 1213","Statistique I ",NA
