"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3143","Intervention éducative (élémentaire) ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3213","Introduction à la didactique du français langue seconde ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3273","Modèles et pratiques à l'élémentaire ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3463","Développement et apprentissage en milieu scolaire à l'élémentaire ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3523","Éthique et obligations professionnelles ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3633","Didactique des arts plastiques ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3553","Didactique de la musique ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3563","Le jeu dramatique et le jeu théâtral en éducation ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3663","Didactique des sciences humaines à l'élémentaire ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 4133","Connaissance et intégration des élèves vivant avec des incapacités au niveau élémentaire ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3843","Technologie de l'éducation ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3853","Didactique des mathématiques à l'élémentaire ",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3873","Méthodes d'enseignement du français langue seconde à l'élémentaire ",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3973","Didactique de la lecture et de l'écriture à l'élémentaire ",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 4223","La didactique des sciences à l'élémentaire ",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 4143","Élèves en difficulté d'apprentissage ou d'adaptation à l'élémentaire ",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3013","Fondements philosophiques, sociologiques et historiques de l'éducation ",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 1303","L'École et société ",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA",NA,NA
"20","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 1000","Stage d'apprentissage",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3273","Modèles et pratiques à l'élémentaire",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 1073","Séminaires et stage ",NA
"23","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 2073","Séminaires et stage ",NA
"24","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat en éducationoption enseignement à l'élémentaire : français langue seconde Garantie d'emploi","https://www.usainteanne.ca//bed-elementaire-fls","PEDA 3073","Séminaires et stage ",NA
