"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","FRAN 1453","Rédaction universitaire II",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","FRAN 1453","Rédaction universitaire II",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","LITT",NA,NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","LING",NA,NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","ANGL",NA,NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","ANLS",NA,NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","PEDA 3283","Modèles et pratiques au secondaire ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","PEDA 3133","Intervention éducative (secondaire) ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","PEDA 3473","Développement et apprentissage en milieu scolaire au secondaire ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","PEDA 4153","Élèves en difficulté d'apprentissage ou d'adaptation au niveau secondaire ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","PEDA 3493","Connaissance et intégration des élèves vivant avec des incapacités au niveau secondaire ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//ba-bed-secondaire","PEDA 3523","Éthique et obligations professionnelles ",NA
