"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","FRAN 1443","Rédaction universitaire II*",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","FRAN 1453","Rédaction universitaire II*",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 2103","Introduction à la littérature",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 2113","Introduction à la poésie",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LING 2043","Initiation à la linguistique",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 3723","Littérature acadienne",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 3733","La littérature orale de l'Acadie",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 3743","Fondements historiques et légendaires du roman acadien",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 3753","Séminaire sur l'oeuvre d'Antonine Maillet",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT 3763","Séminaire poésie acadienne",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LITT",NA,NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","LING",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","6 crédits ANGL 2000",NA,NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","Un cours ANGL niveau 4000+",NA,NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","et 30 crédits ANGL",NA,NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","sciences humaines",NA,NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","sciences",NA,NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu","https://www.usainteanne.ca//ba-anglais-francais-traduction","3 crédits au choix",NA,NA
