"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 2103","Introduction à la littérature ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 2113","Introduction à la poésie ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LING 2043","Initiation à la linguistique ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 3723","Littérature acadienne",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 3733","La littérature orale de l'Acadie ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 3743","Fondements historiques et légendaires du roman acadien ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 3753","Séminaire sur l'oeuvre d'Antonine Maillet ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT 3763","Séminaire poésie acadienne ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","FRAN",NA,NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT",NA,NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LING",NA,NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LING",NA,NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LITT",NA,NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en français","https://www.usainteanne.ca//ba-francais","LING",NA,NA
