"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","FRAN 1443","Rédaction universitaire I*",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","FRAN 1453","Rédaction universitaire II*",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ANGL 2000**",NA,NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 1013","Tradition orale, folklore et ethnologie",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 1023","Méthodologie de l'enquête folklorique",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 3823","Méthodes et théorie en archéologie historique",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LING 2003","Introduction à la sociolinguistique",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LING 2043","Initiation à la linguistique",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","SOCI 1013","Introduction à l'anthropologie sociale",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 2763","Histoire des provinces Maritimes",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 2803","Histoire de l'Acadie de 1604 à 1760",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 2813","Histoire de l'Acadie de 1760 à nos jours",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 3553","Histoire des francophones hors Québec, 1867-1986",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 3723","Histoire de la diaspora acadienne",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 3723","Littérature acadienne",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 3733","La littérature orale de l'Acadie",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 3743","Fondements historiques et légendaires du roman acadien",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 3753","Séminaire sur l'oeuvre d'Antonine Maillet",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 3763","Séminaire poésie acadienne",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ET/LI 2013","Littérature orale I",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LI/ET 2023","Littérature orale II",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 2113","Coutumes populaires du Canada français",NA
"23","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 2123","Les folklores régionaux du Canada français",NA
"24","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ET/LI 2213","Folklore et littérature",NA
"25","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 2223","Analyse de textes de littérature orale",NA
"26","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 3723","Culture de la diaspora acadienne",NA
"27","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LING 3063","Étude comparée du français acadien et du français standard",NA
"28","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","SOCI 2163","Culture et folklore de l'Acadie",NA
"29","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","SOCI 2253","Sociologie de la famille",NA
"30","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","SOCI 2483","Société canadienne",NA
"31","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 4613","Littérature française au Moyen Âge",NA
"32","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 4623","Littérature française au XVIe siècle",NA
"33","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 2753","Histoire de la France de 1589 à 1789",NA
"34","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","HIST 2923","Histoire de l'Europe au Moyen Âge",NA
"35","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","PHIL 2723","Philosophie du milieu humain",NA
"36","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","PS/SO 2213","Psychologie sociale",NA
"37","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ACAD 4093","Mémoire en études acadiennes",NA
"38","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ANGL 2243","Maritime Literature",NA
"39","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ANGL 3433","Canadian Backgrounds",NA
"40","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","CANA 4093","Mémoire en études canadiennes",NA
"41","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","ETHN 3013","Enquête ethnographique",NA
"42","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 2233","Lectures dirigées",NA
"43","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études acadiennes","https://www.usainteanne.ca//ba-etudes-acadiennes","LITT 3233","Lectures dirigées",NA
