"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","FRAN 1443","Rédaction universitaire I*",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","FRAN 1453","Rédaction universitaire II*",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","ANGL 2000** et 15 crédits",NA,NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","HIST 1603","Histoire du Canada (1850-1918)",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","HIST 1613","Histoire du Canada (1919-1984)",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","CANA 4093","Mémoire en études canadiennes",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","12 crédits en littérature canadienne-anglaise",NA,NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","12 crédits en littérature canadienne-française",NA,NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","9 crédits en histoire canadienne",NA,NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","FRAN 1423","Grammaire pratique I*",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","FRAN 1433","Grammaire pratique II*",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","et 39 crédits",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","Biologie (BIOL)",NA,NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","Chimie (CHIM)",NA,NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","Mathématiques (MATH)",NA,NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","Pysiquye (PHYS)",NA,NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","FRAN 1443","Rédaction universitaire I*",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","FRAN 1453","Rédaction universitaire II*",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LITT 2103","Introduction à la littérature",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LING 2043","Initiation à la linguistique",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LITT 3723","Littérature acadienne",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LITT 3733","La littérature orale de l'Acadie",NA
"23","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LITT 3743","Fondements historiques et légendaires du roman acadien",NA
"24","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LITT 3753","Séminaire sur l'oeuvre d'Antonine Maillet",NA
"25","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec majeure en études canadiennes","https://www.usainteanne.ca//ba-etudes-canadiennes","LITT 3763","Séminaire poésie acadienne",NA
