"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","FRAN 1443","Rédaction universitaire I*",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","FRAN 1453","Rédaction universitaire II*",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 2103","Introduction à la littérature",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 2113","Introduction à la poésie",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LING 2043","Initiation à la linguistique",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 3723","Littérature acadienne: enjeux identitaires",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 3733","La littérature orale de l'Acadie",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 3743","Fondements historiques et légendaires du roman acadien",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 3753","Séminaire sur l'oeuvre d'Antonine Maillet",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT 3763","Séminaire poésie acadienne",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT",NA,NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LING",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT",NA,NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LING",NA,NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LITT",NA,NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","LING",NA,NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","ANGL 2000",NA,NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","et 6 crédits",NA,NA
"19","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","sciences humaines",NA,NA
"20","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","FRAN 1423","Grammaire pratique I*",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","FRAN 1433","Grammaire pratique II*",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","et 24 crédits",NA,NA
"23","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","BIOL",NA,NA
"24","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","CHIM",NA,NA
"25","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","MATH",NA,NA
"26","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès artsavec spécialisation en français","https://www.usainteanne.ca//ba-specialisation-francais","PHYS",NA,NA
