"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","CHIM 1013","Introduction à la chimie I ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","CHIM 1023","Introduction à la chimie II ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","MATH 1003","Calcul différentiel et intégral I ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","MATH 1013","Calcul différentiel et intégral II ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PHYS 1003","Physique mécanique ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PHYS 1013","Physique, électricité et magnétisme I ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","et 36 crédits",NA,NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3283","Modèles et pratiques au secondaire ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3183","Didactique des sciences au secondaire I ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3193","Didactique des sciences au secondaire II ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3133","Intervention éducative (secondaire) ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3473","Développement et apprentissage en milieu scolaire au secondaire ",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 4153","Élèves en difficulté d'apprentissage ou d'adaptation au niveau secondaire ",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3493","Connaissance et intégration des élèves vivant avec des incapacités au niveau secondaire ",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3523","Éthique et obligations professionnelles ",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 3843","Technologie de l'éducation ",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PH/PE 2223","Philosophie de l'éducation ",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-bed","PEDA 1303","L'École et société ",NA
