"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 1053","Introduction à la biologie I ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 1063","Introduction à la biologie II ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2313","Biologie cellulaire ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2323","Génétique ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2403","Microbiologie ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BI/CH 2803","Biochimie I ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","6 crédits BIOL",NA,NA
"8","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","18 crédits BIOL 3000+",NA,NA
"9","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","CHIM 1013","Introduction à la chimie I ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","CHIM 1023","Introduction à la chimie II ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","MATH 1213","Statistique I ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","3 crédits MATH",NA,NA
"13","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3283","Modèles et pratiques au secondaire ",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3183","Didactique des sciences au secondaire I ",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3193","Didactique des sciences au secondaire II ",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3133","Intervention éducative (secondaire) ",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3473","Développement et apprentissage en milieu scolaire au secondaire ",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 4153","Élèves en difficulté d'apprentissage ou d'adaptation au niveau secondaire ",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3493","Connaissance et intégration des élèves vivant avec des incapacités au niveau secondaire ",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3523","Éthique et obligations professionnelles ",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3843","Technologie de l'éducation ",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PH/PE 2223","Philosophie de l'éducation ",NA
"23","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 1303","L'École et société ",NA
"24","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3013","Fondements philosophiques, sociologiques et historiques de l'éducation ",NA
"25","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","et 18 crédits PEDA au choix",NA,NA
"26","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 1000","Stage d'apprentissage",NA
"27","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3283","Modèles et pratiques au secondaire",NA
"28","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 1073","Séminaires et stage ",NA
"29","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 2073","Séminaires et stage ",NA
"30","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","PEDA 3073","Séminaires et stage ",NA
"31","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2003","Anatomie et physiologie humaine I ",NA
"32","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2013","Anatomie et physiologie humaine II ",NA
"33","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 3033","Parasitologie ",NA
"34","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2173","Immunologie ",NA
"35","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 3023","Biologie du développement ",NA
"36","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 3123","Biologie moléculaire ",NA
"37","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BI/CH 3803","Biochimie II ",NA
"38","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 4073","Séminaire thématique en biotechnologie ",NA
"39","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 4103","Méthodologie en biologie moléculaire ",NA
"40","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2213","Écologie marine ",NA
"41","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2433","Zoologie I",NA
"42","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2423","Zoologie II",NA
"43","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2613","Botanique I",NA
"44","Université Sainte-Anne - Collège de l'Acadie","Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi","https://www.usainteanne.ca//bsc-biologie-bed","BIOL 2623","Botanique II",NA
