"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1403","ESL I",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1413","ESL II",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1503","English Conversation",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1423","ESL III",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1433","ESL IV",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 2003","English Communication",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1443","English Composition",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 1453","Writing Practice",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","ANLS 3003","Public Speaking",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Certificat en anglais langue seconde","https://www.usainteanne.ca//certificat-als","AN/AD 3113","Introduction to Professional Writing",NA
