"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","BIOL 2003","Anatomie et physiologie humaine I ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","BIOL 2013","Anatomie et physiologie humaine II ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","BI/CH 2803","Biochimie I ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","CHIM 1013","Introduction à la chimie I ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","CHIM 1023","Introduction à la chimie II ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","CHIM 2513","Chimie organique I ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","CHIM 2523","Chimie organique II ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","MATH 1003","Calcul différentiel et intégral I ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","MATH 1013","Calcul différentiel et intégral II ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","MATH 1213","Statistique I ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","MATH 1253","Introduction à l'algèbre linéaire ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","PHYS 1003","Physique mécanique ",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","PHYS 1013","Physique, électricité et magnétisme I ",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","3 crédits philosophie",NA,NA
"15","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","3 crédits sociologie",NA,NA
"16","Université Sainte-Anne - Collège de l'Acadie","Diplôme préparatoire en sciences de la santé","https://www.usainteanne.ca//dss","3 crédits psychologie",NA,NA
