"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","BIOL 2323","Génétique ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","BIOL 2403","Microbiologie ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","CHIM 1013","Introduction à la chimie I ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","CHIM 1023","Introduction à la chimie II ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","CHIM 2513","Chimie organique I ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","CHIM 2523","Chimie organique II ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","MATH 1003","Calcul différentiel et intégral I ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","MATH 1013","Calcul différentiel et intégral II ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","MATH 1213","Statistique I ",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","PHYS 1003","Physique mécanique ",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","PHYS 1013","Physique, électricité et magnétisme I ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Diplôme ès sciences pré-vétérinaires","https://www.usainteanne.ca//pre-veterinaire","VETE 1000","Stage I ",NA
