"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","Automne",NA,NA
"2","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4002-18"," Marketing et communication en petite enfance",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4004-18"," Leadership pédagogique en petite enfance",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4006-19"," Gestion des ressources humaines",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","Cote et titre",NA,NA
"6","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","Hiver",NA,NA
"7","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4001-18"," Leadership et gestion en petite enfance",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4003-19"," Informatique et comptabilité informatisée",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4005-19"," Professionnalisme en petite enfance",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Leadership en petite enfance","https://etudescollegiales.ca/leadership-en-petite-enfance","EPE4007-19"," Gestion de risque",NA
