"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5503","Psychologie de l'apprentissage et enseignement du français en contextes particuliers",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5513","Analyse de curriculum de français en contextes particuliers",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5523","Apprentissage et enseignement explicites et implicites du français langue seconde et langue maternelle en situation minoritaire",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5533","Évaluation de l'apprentissage en contextes de français langue seconde et de français langue maternelle en situation minoritaire",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5293","Acquisition d'une langue seconde",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5333","Aspects socioculturels et politiques de l'enseignement du français langue seconde",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5403","Aspects socioculturels et politiques de l'éducation en français langue maternelle et milieu minoritaire",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5413","Acquisition de la langue première en milieu minoritaire",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5543","Recherche-action et enseignement-apprentissage du français langue seconde et langue maternelle en situation minoritaire",NA
"10","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5553","Séminaire et projet de recherche en enseignement du français langue seconde et langue maternelle en situation minoritaire",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5563","La pédagogie de la coopération en français langue seconde et langue maternelle en situations minoritaires",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5573","Intégration de la technologie dans l'enseignement du français langue seconde et langue maternelle en situation minoritaire",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5043","Projets spéciaux en enseignement du français langue seconde et langue maternelle en situation minoritaire",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5053","École, diversité et enseignement du français au Canada",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Maîtrise en éducationSpécialisation en enseignement du français langue maternelle","https://www.usainteanne.ca//maitrise-en-education","PEDA 5153","Musée, école et identité",NA
