"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 1053","Introduction à la biologie I ",NA
"2","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 1063","Introduction à la biologie II ",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2243","Biodiversité des végétaux ",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2313","Biologie cellulaire ",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2323","Génétique ",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2403","Microbiologie ",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BI/CH 2803","Biochimie I ",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3003","Évolution ",NA
"9","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","et 3 crédits BIOL au choix",NA,NA
"10","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","et 15 crédits BIOL au choix du niveau 3000+",NA,NA
"11","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","CHIM 1013","Introduction à la chimie I ",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","CHIM 1023","Introduction à la chimie II ",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","MATH 1213","Statistique I ",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","et 3 crédits mathématiques",NA,NA
"15","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2003","Anatomie et physiologie humaine I ",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2013","Anatomie et physiologie humaine II ",NA
"17","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3033","Parasitologie ",NA
"18","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2173","Immunologie ",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3023","Biologie du développement ",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3123","Biologie moléculaire ",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BI/CH 3803","Biochimie II ",NA
"22","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 4033","Études dirigées en biologie I ",NA
"23","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 4073","Séminaire thématique en biotechnologie ",NA
"24","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 4103","Méthodologie en biologie moléculaire ",NA
"25","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2213","Écologie marine ",NA
"26","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2433","Zoologie I",NA
"27","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2423","Zoologie II",NA
"28","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2613","Botanique I",NA
"29","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2623","Botanique II",NA
"30","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2243","Biodiversité des végétaux ",NA
"31","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3133","Mycologie ",NA
"32","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3553","Biologie et physiologie des végétaux ",NA
"33","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 4033","Études dirigées en biologie I ",NA
"34","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 4083","Toxicologie ",NA
"35","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3003","Évolution ",NA
"36","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3043","Biologie de la conservation ",NA
"37","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3073","Comportement animal ",NA
"38","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3113","Écologie appliquée ",NA
"39","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3423","Ornithologie ",NA
"40","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 4063","Séminaire thématique en écologie ",NA
"41","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 1000","Stage I",NA
"42","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 2000","Stage II",NA
"43","Université Sainte-Anne - Collège de l'Acadie","Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","https://www.usainteanne.ca//bsc-biologie-coop","BIOL 3000","Stage III",NA
