"","Institution","Program","Program_url","Code","Name","Description"
"1","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Automne - 1re année",NA,NA
"2","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1002-10"," Développement global de l'enfant I",NA
"3","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1006-18"," Méthodes d'observation",NA
"4","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1008-14"," Études de comportement et stratégies d'intervention I",NA
"5","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1101-10"," Introduction au développement de la personne",NA
"6","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2001-14"," Fondements de l'éducation préscolaire",NA
"7","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2003-14"," Santé et nutrition en milieu de garde",NA
"8","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Cote et titre",NA,NA
"9","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Hiver - 1re année",NA,NA
"10","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1004-14"," Milieu de vie du bébé",NA
"11","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1003-10"," Développement global de l'enfant II",NA
"12","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1005-14"," Milieu de vie de l'enfant d'âge préscolaire",NA
"13","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1007-14"," Développement personnel et éthique professionnelle",NA
"14","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2002-14"," Apprentissage par le jeu",NA
"15","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE3001-10"," Méthodes de recherche",NA
"16","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Cote et titre",NA,NA
"17","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Printemps - 1re année",NA,NA
"18","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1907-19"," Stage I",NA
"19","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2005-10"," Milieu de vie de l'enfant d'âge scolaire",NA
"20","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE3007-10"," Francophonie canadienne et diversité culturelle",NA
"21","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Cote et titre",NA,NA
"22","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Automne - 2e année",NA,NA
"23","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2004-14"," Sécurité en milieu de garde",NA
"24","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2006-16"," Les enfants à besoins spéciaux et leur inclusion en contexte de groupe",NA
"25","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2007-10"," Introduction à l'art et à la créativité",NA
"26","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2904-19"," Stage II",NA
"27","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Cote et titre",NA,NA
"28","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Hiver - 2e année",NA,NA
"29","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE1102-14"," Relations avec les familles",NA
"30","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE3002-14"," Études de comportement et stratégies d'intervention II",NA
"31","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE3004-14"," Éducation psychomotrice",NA
"32","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE3005-14"," Musique et mouvement",NA
"33","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE3006-14"," Gestion d'un centre préscolaire",NA
"34","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Cote et titre",NA,NA
"35","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","Printemps - 2e année",NA,NA
"36","Université Sainte-Anne - Collège de l'Acadie","Éducation à la petite enfance","https://etudescollegiales.ca/education-a-la-petite-enfance","EPE2908-19"," Stage III",NA
