"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","FLSC 101","Private Pilot Licence",NA
"2","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","FLSC 201","Commercial Pilot Licence",NA
"3","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","PHED 222","Northern Outdoor Pursuits and Leadership I",NA
"4","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","PHED 225","Northern Outdoor Pursuits and Leadership II",NA
"5","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","WFA 011","Wilderness First Aid/CPR-C",NA
"6","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","ACCT 101","Introductory Financial Accounting 1",NA
"7","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","COMM 100","Business Communications",NA
"8","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","COMP 161","Microcomputer Applications for Business",NA
"9","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","ECON 100","Introduction to Microeconomics",NA
"10","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","HIST 140","History of Yukon First Nations and Self-Government",NA
"11","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","LEAD 110","Introduction to Business",NA
"12","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","MATH 141","Mathematics for Business",NA
"13","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","ACCT 102","Introductory Financial Accounting 2",NA
"14","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","ACCT 222","Managerial Accounting 1",NA
"15","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","COMM 200","Intercultural Communication for Business",NA
"16","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","ECON 101","Introduction to Macroeconomics",NA
"17","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","ENGL 101","Introduction to the Study of Literature",NA
"18","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","LEAD 272","Human Resource Management",NA
"19","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","LEAD 292","People and Organizations",NA
"20","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","MATH 210","Applied Statistics",NA
"21","Yukon College","Aviation Management","https://www.yukonu.ca/programs/aviation-management","MKTG 231","Marketing Management",NA
