"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","BUS 261","Finance II",NA
"2","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 372","Strategic Human Resources Competencies",NA
"3","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ACCT 101","Introductory Financial Accounting 1",NA
"4","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ACCT 102","Introductory Financial Accounting 2",NA
"5","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","COMM 100","Business Communications",NA
"6","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","COMP 161","Microcomputer Applications for Business",NA
"7","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ENGL 100","Academic Writing and Critical Thinking",NA
"8","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","HIST 140","History of Yukon First Nations and Self-Government",NA
"9","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 110","Introduction to Business",NA
"10","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 111","Quest",NA
"11","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 111F","Quest Field Camp",NA
"12","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","MATH 141","Mathematics for Business",NA
"13","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ACCT 213","Finance I",NA
"14","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ACCT 222","Managerial Accounting 1",NA
"15","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","COMM 200","Intercultural Communication for Business",NA
"16","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ECON 100","Introduction to Microeconomics",NA
"17","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ECON 101","Introduction to Macroeconomics",NA
"18","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 272","Human Resource Management",NA
"19","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 292","People and Organizations",NA
"20","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","MATH 210","Applied Statistics",NA
"21","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","MKTG 231","Marketing Management",NA
"22","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","BLAW 300","Commercial Law",NA
"23","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","BUS 270","Business Policy",NA
"24","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","BUS 301","Land Claims and Community Economic Development Process",NA
"25","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ECDV 300","Creativity and Innovation in Small Business",NA
"26","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 300","Multi-Jurisdictional Business",NA
"27","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","MKTG 300","Marketing Research",NA
"28","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","LEAD 401","Applied Northern Teamwork and Leadership",NA
"29","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ACCT 101","Introductory Financial Accounting 1",NA
"30","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ACCT 102","Introductory Financial Accounting 2",NA
"31","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","COMM 100","Business Communications",NA
"32","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","COMP 161","Microcomputer Applications for Business",NA
"33","Yukon College","Business Administration","https://www.yukonu.ca/programs/business-administration","ENGL 100","Academic Writing and Critical Thinking",NA
