"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 102","Portable Power Tools and Levels",NA
"2","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 001","Review for Level 1 Apprenticeship Exam",NA
"3","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 100","Worksite Safety",NA
"4","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 101","Hand Tools and Building Supplies",NA
"5","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 103","Stationary Power Tools",NA
"6","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 104","Floor Construction",NA
"7","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 105","Wall Construction",NA
"8","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 106","Roof Construction",NA
"9","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 112","Site and Materials Preparation",NA
"10","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 113","Residential/Commercial Foundations",NA
"11","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 114","Scaffolds and Rigging",NA
"12","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","FA 003","Standard First Aid/CPR-C",NA
"13","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","PAT 001","Power-Actuated Tools",NA
"14","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","RIGG 001","Rigging and Hoisting",NA
"15","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","WHMS 001","Workplace Hazardous Materials Information System",NA
"16","Yukon College","Carpentry","https://www.yukonu.ca/programs/carpentry","CARP 107","Blueprint Reading",NA
