"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","ACS 100","Foundations for Success",NA
"2","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","COMM 100","Business Communications",NA
"3","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","HCA 111","Health 2",NA
"4","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","PHIL 121","Professionalism and Ethics",NA
"5","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","PRMA 100","Redefining Case Management",NA
"6","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","CEES 100","Capstone Project",NA
"7","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","COMP 050","Computer Fundamentals",NA
"8","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","ELCC 125","Interpersonal Relationships and Communication Skills",NA
"9","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","PROJ 100","Introduction to Project Management and Event Planning",NA
"10","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","ATHA 101","Introduction to Native Languages I",NA
"11","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","BUS 174","Microcomputer Applications 3",NA
"12","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","BUSM 100","Business Mathematics",NA
"13","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","COMP 161","Microcomputer Applications for Business",NA
"14","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","ELCC 121","Child Growth and Development II",NA
"15","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","ENGL 060","Introduction to Literature",NA
"16","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","FNGA 100","Introduction to First Nations Governance and Public Administration",NA
"17","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","HIST 050","History of Yukon First Nations",NA
"18","Yukon College","Community Education and Employment Support","https://www.yukonu.ca/programs/community-education-and-employment-support","JS 100","Job Search Strategies",NA
