"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 001","Online Learner Success",NA
"2","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 102","Computer Hardware",NA
"3","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 108","Operating Systems I",NA
"4","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 110","Professionalism and Customer Service",NA
"5","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 112","Fundamentals of Web Development",NA
"6","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 114","Networking",NA
"7","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 120","Foundations of System Development",NA
"8","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 122","Foundation Project",NA
"9","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 214","Database Design",NA
"10","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 216","Database Management Systems",NA
"11","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 232","Network Security",NA
"12","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 234","Server Management",NA
"13","Yukon College","Computer Support Technician (not accepting applications)","https://www.yukonu.ca/programs/computer-support-technician","ICT 236","Network Infrastructure",NA
