"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 101","Safety, Sanitation and Equipment",NA
"2","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 102","Basic Food Service and Kitchen Management",NA
"3","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 103","Cold Kitchen I",NA
"4","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 104","Baking and Desserts I",NA
"5","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 105","Egg and Breakfast Cooking/Hot Sandwiches",NA
"6","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 106","Vegetable and Starch Cookery I",NA
"7","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 107","Meat and Poultry Cookery I",NA
"8","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 108","Seafood Cookery I",NA
"9","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 109","Stocks, Sauces and Soups I",NA
"10","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 110","Interpersonal Skills 1",NA
"11","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 121","Elementary Kitchen, Management and Health Care",NA
"12","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 122","Stocks, Sauces and Soups II",NA
"13","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 123","Cold Kitchen II",NA
"14","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 124","Meat, Poultry and Seafood Cutting",NA
"15","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 125","Vegetable and Starch Cookery II",NA
"16","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 126","Meat, Poultry and Seafood Cookery II",NA
"17","Yukon College","Culinary Arts","https://www.yukonu.ca/programs/culinary-arts","CULA 127","Baking and Desserts 2",NA
