"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 100","Cultural Competency in Early Learning and Child Care",NA
"2","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 110","Health, Safety and Nutrition",NA
"3","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 111","Child Growth & Dev't I",NA
"4","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 112","Introduction to Early Learning and Child Care",NA
"5","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 113","Field Placement I",NA
"6","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 114","Integration Seminar I",NA
"7","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 121","Child Growth and Development II",NA
"8","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 122","Program Planning",NA
"9","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 123","Field Placement II",NA
"10","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 124","Integration Seminar II",NA
"11","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 125","Interpersonal Relationships and Communication Skills",NA
"12","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 130","Guiding Young Children",NA
"13","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 200","Program Planning",NA
"14","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 211","Family Program Community",NA
"15","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 212","Program Planning-Literacy & Creative Expression",NA
"16","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 213","Field Placement III",NA
"17","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 214","Integration Seminar III",NA
"18","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 220","Philosophy of ELCC",NA
"19","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 221","Ecology of the Family",NA
"20","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 222","Exceptional Children",NA
"21","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 223","Field Placement IV",NA
"22","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 224","Integration Seminar IV",NA
"23","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ELCC 225","Leadership, Teambuilding, and Administration in Early Learning and Childcare",NA
"24","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","COMM 192","Business Communications",NA
"25","Yukon College","Early Learning and Child Care","https://www.yukonu.ca/programs/early-learning-and-child-care","ENGL 100","Academic Writing and Critical Thinking",NA
