"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EAES 310","Introduction to Arts Education",NA
"2","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ECCU 200","Introduction to Cross-Cultural Education",NA
"3","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ECCU 390","First Nations Cultures and Values",NA
"4","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ECS 311","Pedagogy, Theory & Practice II",NA
"5","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EFLD 060","Professional Learning as Community Experience",NA
"6","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EFLD 310","Teaching Experiences Pre-K to Grade 5 Classroom (2 week Field Placement)",NA
"7","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ELNG 325","Teaching of Writing",NA
"8","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EMTH 310","Teaching Mathematics in Elementary School",NA
"9","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EPE 310","Physical Education in the Elementary School",NA
"10","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ERDG 310","Teaching Literacy for a Better World",NA
"11","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ESCI 310","Science Education (Pre-K to Grade 5)",NA
"12","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ESST 310","Social Studies for Elementary School Teachers",NA
"13","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ECCU 300","Cross-Cultural Teaching Strategies",NA
"14","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ECS 410","Assessment and Evaluation",NA
"15","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EFLD 405","Internship",NA
"16","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EHE 310","Health Education in Elementary School",NA
"17","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","EPSY 400","Working with Difference & Diversity",NA
"18","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","ERDG 425","Culturally Responsive Literacy Education",NA
"19","Yukon College","Education (YNTEP) - After Degree","https://www.yukonu.ca/programs/yntep-after-degree","HIST 140","History of Yukon First Nations and Self-Government",NA
