"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ATHA 101","Introduction to Native Languages I",NA
"2","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ATHA 102","Introduction to Native Languages II",NA
"3","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ECS 100","Knowledge, Schooling & Society",NA
"4","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ECS 110","Self and Other",NA
"5","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","EIOE 215","First Nations' Outdoor Education: Part I",NA
"6","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","EIOE 225","First Nations' Outdoor Education: Part II",NA
"7","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ENGL 100","Academic Writing and Critical Thinking",NA
"8","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ENGL 101","Introduction to the Study of Literature",NA
"9","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","HIST 140","History of Yukon First Nations and Self-Government",NA
"10","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","MATY 101","Introductory Finite Math",NA
"11","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","THEA 200","Introduction to Acting I",NA
"12","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ECCU 200","Introduction to Cross-Cultural Education",NA
"13","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ECCU 390","First Nations Cultures and Values",NA
"14","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ECS 200","Constructions of the Student, Learner and the School",NA
"15","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ECS 210","Curriculum as Cultural and Social Practice",NA
"16","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","EDTC 300","Introduction to Educational Technology and Media",NA
"17","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","EFLD 200","Education Field Experience II",NA
"18","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","EINL 200","Culture and the Acquisition of Language and Literacy",NA
"19","Yukon College","Education (YNTEP) - Degree","https://www.yukonu.ca/programs/yukon-native-teacher-education-program-degree","ELNG 200","Linguistic Diversity & Teaching Language Arts",NA
