"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","COMM 100","Business Communications",NA
"2","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 100","Introduction to First Nations Governance and Public Administration",NA
"3","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 101","Governance & Land Claims",NA
"4","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 103","Accountability and Financial Management",NA
"5","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 207","Public Policy in Northern and Indigenous Context",NA
"6","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 208","Human Resource Management",NA
"7","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 209","Intergovernmental Relations",NA
"8","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 302","Power and Influence",NA
"9","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 304","Community Economic Development",NA
"10","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","HIST 140","History of Yukon First Nations and Self-Government",NA
"11","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 200","Organizational and Community Wellness",NA
"12","Yukon College","First Nations Governance and Public Administration","https://www.yukonu.ca/programs/first-nations-governance-and-public-administration","FNGA 301","Theory and Practice of Negotiation",NA
