"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 122","Healing 1C",NA
"2","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","ECD 215","Interpersonal Communication Skills",NA
"3","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 100","Health and Healing A",NA
"4","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 101","Health and Healing B",NA
"5","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 102","Introduction to Practice",NA
"6","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 111","Health 2",NA
"7","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 120","Healing 1A",NA
"8","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 121","Healing 1B",NA
"9","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 130","Healing 2A",NA
"10","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 131","Healing 2B",NA
"11","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 140","Healing 3A",NA
"12","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 141","Healing 3B",NA
"13","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 150","Practicum",NA
"14","Yukon College","Health Care Assistant","https://www.yukonu.ca/programs/health-care-assistant","HCA 160","Practicum: Multi-level, Complex and Dementia",NA
