"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ANTH 140","Introduction to the Fields of Anthropology",NA
"2","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ANTH 144","Heritage and Culture Field School",NA
"3","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ARCV 140","Archives and Collections Management",NA
"4","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ENGL 100","Academic Writing and Critical Thinking",NA
"5","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","FNST 140","Preservation of Traditional Knowledge",NA
"6","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","HIST 140","History of Yukon First Nations and Self-Government",NA
"7","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","LANG 140","Language and Culture Preservation",NA
"8","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","PADM 140","Heritage and Culture Administration",NA
"9","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ATHA 101","Introduction to Native Languages I",NA
"10","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ATHA 102","Introduction to Native Languages II",NA
"11","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","ENGL 101","Introduction to the Study of Literature",NA
"12","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","FNGA 100","Introduction to First Nations Governance and Public Administration",NA
"13","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","NOST 101","The Circumpolar World",NA
"14","Yukon College","Heritage and Culture","https://www.yukonu.ca/programs/heritage-and-culture","PSYC 101","Introduction to Psychology II",NA
