"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","COMM 100","Business Communications",NA
"2","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 110","Theories of Communication",NA
"3","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 111","Image Editing Fundamentals",NA
"4","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 112","Web Design",NA
"5","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 113","Desktop Publishing/InDesign",NA
"6","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 120","Communicative Writing",NA
"7","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 121","Digital Video and Audio",NA
"8","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 123","Digital Illustration",NA
"9","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 124","Capstone Project",NA
"10","Yukon College","Multimedia Communication","https://www.yukonu.ca/programs/multimedia-communication","MMC 125","Graphic Design",NA
