"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 140","Introduction to the Fields of Anthropology",NA
"2","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 100","Academic Writing and Critical Thinking",NA
"3","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 101","Introduction to the Study of Literature",NA
"4","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 200","Research in the North",NA
"5","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 201","The Natural History of the North",NA
"6","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 202","Social History of the North",NA
"7","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","HIST 140","History of Yukon First Nations and Self-Government",NA
"8","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 221","Subarctic Archaeology",NA
"9","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ATHA 101","Introduction to Native Languages I",NA
"10","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ATHA 102","Introduction to Native Languages II",NA
"11","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 230","Indigenous Narratives",NA
"12","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENST 200","Environmental Perspectives",NA
"13","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENST 201","Environmental Ethics",NA
"14","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","FNST 140","Preservation of Traditional Knowledge",NA
"15","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","HIST 140","History of Yukon First Nations and Self-Government",NA
"16","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","LANG 140","Language and Culture Preservation",NA
"17","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 101","The Circumpolar World",NA
"18","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","CRIM 219","Aboriginal Peoples and Canadian Criminal Justice",NA
"19","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 230","Indigenous Narratives",NA
"20","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENST 223","Principles and Practices of Heritage Interpretation",NA
"21","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 324","Contemporary Issues in the Circumpolar World I",NA
"22","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 325","Contemporary Issues in the Circumpolar World II",NA
"23","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 328","Peoples and Cultures of the Circumpolar North I",NA
"24","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","NOST 329","Peoples and Cultures of the Circumpolar North II",NA
"25","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 101","Biological and Forensic Anthropology",NA
"26","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 144","Heritage and Culture Field School",NA
"27","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 210","Globalization and the Culture of Capitalism",NA
"28","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 225","Field Methods in Subarctic Ethnography and Archaeology",NA
"29","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ANTH 226","Analytical Methods in Archaeology and Ethnography",NA
"30","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ASTR 100","Introduction to Astronomy",NA
"31","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","BIOL 101","Principles of Biology I",NA
"32","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","BIOL 102","Principles of Biology II",NA
"33","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","BIOL 290","Beringia: Its Pleistocene Environment and Paleoecology",NA
"34","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","CHEM 111","Chemical Energetics and Dynamics",NA
"35","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","CRIM 101","Introduction to Criminology",NA
"36","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","CRIM 103","Psychological Explanations of Crime and Deviance",NA
"37","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","CRIM 104","Sociological Explanations of Crime and Deviance",NA
"38","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","CRIM 241","Intro to Corrections",NA
"39","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 203","Introduction to the Novel",NA
"40","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 204","Introduction to Science Fiction",NA
"41","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 205","Literary Representations of the Natural World",NA
"42","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 206","Introduction to the Short Story",NA
"43","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENGL 220","The North in Canadian Literature",NA
"44","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENVS 100","Introduction to Environmental Science I",NA
"45","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","ENVS 101","Introduction to Environmental Science II",NA
"46","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","GEOG 101","Introduction to Physical Geography I",NA
"47","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","GEOG 102","Introduction to Physical Geography II",NA
"48","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","HIST 120","European History I",NA
"49","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","HIST 121","European History II",NA
"50","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","HIST 135","Canadian History to 1867",NA
"51","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","HIST 136","Canadian History",NA
"52","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PHED 222","Northern Outdoor Pursuits and Leadership I",NA
"53","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PHED 225","Northern Outdoor Pursuits and Leadership II",NA
"54","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PHIL 120","Introduction to Ethics",NA
"55","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","POLI 201","Introduction to Political Thought",NA
"56","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","POLI 241","Introduction to International Relations",NA
"57","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PSYC 100","Introduction to Psychology I",NA
"58","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PSYC 101","Introduction to Psychology II",NA
"59","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PSYC 203","Social Psychology",NA
"60","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PSYC 204","Abnormal Psychology",NA
"61","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","PSYC 205","Child Development",NA
"62","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","RELI 101","World Religions II",NA
"63","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","SOCI 100","Introduction to Sociology",NA
"64","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","SOCI 103","Canadian Society",NA
"65","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","SOCI 203","Sociology of the Family",NA
"66","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","SOCI 209","Society, Technology and Values",NA
"67","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","SOCI 227","Research Methods in the Social Sciences",NA
"68","Yukon College","Northern First Nations Studies","https://www.yukonu.ca/programs/northern-first-nations-studies","WGST 100","Introduction to Women's Studies I",NA
