"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","CHEM 110","The Structure of Matter",NA
"2","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","CHEM 110L","The Structure of Matter Lab",NA
"3","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","CHEM 111","Chemical Energetics and Dynamics",NA
"4","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","CHEM 111L","Chemical Energetics and Dynamics Lab",NA
"5","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","ENGL 100","Academic Writing and Critical Thinking",NA
"6","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","ENGL 101","Introduction to the Study of Literature",NA
"7","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","MATH 105","Introductory Statistics",NA
"8","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","NOST 215","Northern Studies Field Methods",NA
"9","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","BIOL 101","Principles of Biology I",NA
"10","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","BIOL 101L","Principles of Biology I Lab",NA
"11","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","BIOL 102","Principles of Biology II",NA
"12","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","BIOL 102L","Principles of Biology II Lab",NA
"13","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","COMM 193","Introduction to Scientific & Technical Communication",NA
"14","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","ENVS 100","Introduction to Environmental Science I",NA
"15","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","ENVS 100L","Environmental Science I Lab",NA
"16","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","ENVS 101","Introduction to Environmental Science II",NA
"17","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","ENVS 101L","Environmental Science II Lab",NA
"18","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOG 101","Introduction to Physical Geography I",NA
"19","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOG 101L","Introduction to Physicial Geography I Lab",NA
"20","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOG 102","Introduction to Physical Geography II",NA
"21","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOL 105","Physical Geology",NA
"22","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOL 105L","Physical Geology Lab",NA
"23","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOL 106","Historical Geology",NA
"24","Yukon College","Northern Science","https://www.yukonu.ca/programs/northern-science","GEOL 106L","Historical Geology Lab",NA
