"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 101","Principles of Biology I",NA
"2","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 101L","Principles of Biology I Lab",NA
"3","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 102","Principles of Biology II",NA
"4","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 102L","Principles of Biology II Lab",NA
"5","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 210","Introduction to Northern Botany",NA
"6","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 210L","Introduction to Northern Botany Lab",NA
"7","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 220","Ecology",NA
"8","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 220L","Ecology Lab",NA
"9","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","CHEM 110","The Structure of Matter",NA
"10","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","CHEM 110L","The Structure of Matter Lab",NA
"11","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","COMM 193","Introduction to Scientific & Technical Communication",NA
"12","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","ECON 100","Introduction to Microeconomics",NA
"13","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","ENGL 100","Academic Writing and Critical Thinking",NA
"14","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","ENST 200","Environmental Perspectives",NA
"15","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","GEOG 250","Introduction to Mapping and Geographical Information System (GIS)",NA
"16","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","GEOG 250L","Introduction to Mapping and Geographical Information System (GIS) Lab",NA
"17","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","HIST 140","History of Yukon First Nations and Self-Government",NA
"18","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","MATH 105","Introductory Statistics",NA
"19","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","NOST 201","The Natural History of the North",NA
"20","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","RRMT 125","Renewable Resources Measurements",NA
"21","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","RRMT 239","Freshwater Ecosystems and Hydrology",NA
"22","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","RRMT 239L","Freshwater Ecosystems and Hydrology Lab",NA
"23","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","SOIL 210","Introduction to Soil Science and Resources",NA
"24","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","SOIL 210L","Introduction to Soil Science and Resources",NA
"25","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","MATH 100","Single Variable Calculus I",NA
"26","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","MATH 120","Mathematics for the Life Sciences",NA
"27","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","ANTH 221","Subarctic Archaeology",NA
"28","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 225","Ornithology",NA
"29","Yukon College","Northern Science (Environmental and Conservation Sciences stream)","https://www.yukonu.ca/programs/northern-science-environmental-and-conservation-sciences-stream","BIOL 290","Beringia: Its Pleistocene Environment and Paleoecology",NA
