"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","TUTR CE01","Distance Learner Success",NA
"2","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","ACCT 120","Introductory Accounting",NA
"3","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","ACCT 220","Intermediate Accounting",NA
"4","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","BUSC 100","Business Communications",NA
"5","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","BUSC 200","Business Communications",NA
"6","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","BUSM 100","Business Mathematics",NA
"7","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","FILD 100","Fieldwork",NA
"8","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","JS 100","Job Search Strategies",NA
"9","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","KEY 100","Keyboarding",NA
"10","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 100","Introduction to Excel",NA
"11","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 105","Introduction to Access",NA
"12","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 200","Intermediate Excel",NA
"13","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 230","Simply Accounting",NA
"14","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 231","AccPac for Windows",NA
"15","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","OP 100","Office Procedures",NA
"16","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","RECM 100","Records Management",NA
"17","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","WP 120","Beginning Word Processing (Word)",NA
"18","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","ACCT 120","Introductory Accounting",NA
"19","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","BUSC 100","Business Communications",NA
"20","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","BUSC 200","Business Communications",NA
"21","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","BUSM 100","Business Mathematics",NA
"22","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","FILD 100","Fieldwork",NA
"23","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","JS 100","Job Search Strategies",NA
"24","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","KEY 100","Keyboarding",NA
"25","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 100","Introduction to Excel",NA
"26","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 105","Introduction to Access",NA
"27","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","MICR 110","PowerPoint",NA
"28","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","OP 100","Office Procedures",NA
"29","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","RECM 100","Records Management",NA
"30","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","WP 120","Beginning Word Processing (Word)",NA
"31","Yukon College","Office Administration","https://www.yukonu.ca/programs/office-administration","WP 220","Advanced Word Processing (Word)",NA
