"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 601","Intro to Public Administration",NA
"2","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 604","Research Methods in Administration",NA
"3","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 614","Public Policy and Accountability",NA
"4","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 616","Leadership",NA
"5","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 622","Human Resources and Organizational Development",NA
"6","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 628","Public Financial Management",NA
"7","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 688","Program Evaluation",NA
"8","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 690","Capstone",NA
"9","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","COMM 418","Special Topics in Comm",NA
"10","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 625","Economics of Public Policy",NA
"11","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 662","Governing Nonprofit Organizations and the Board of Directors",NA
"12","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 663","Marketing for Non Profits",NA
"13","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 693","Special Topics in Public Administration",NA
"14","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 651","Introduction to Higher Education",NA
"15","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 653","Organizational Development in Higher Education",NA
"16","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 655","Higher Education and Public Policy",NA
"17","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 657","Higher Education Law",NA
"18","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 641","Land Use Planning and Resilient Communities",NA
"19","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 642","Climate Governance in the North",NA
"20","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 643","Role of City Manager",NA
"21","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 645","Municipal Governance",NA
"22","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 635","Natural Resources Policy",NA
"23","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 637","Local and Global Sustainability",NA
"24","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 638","Sustainable Energy and Environment",NA
"25","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 639","Adaptive Management",NA
"26","Yukon College","Public Administration","https://www.yukonu.ca/programs/public-administration","PADM 640","Food Security and Sustainability",NA
