"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Science","https://www.yukonu.ca/programs/science","COMM 193","Introduction to Scientific & Technical Communication",NA
"2","Yukon College","Science","https://www.yukonu.ca/programs/science","ENGL 100","Academic Writing and Critical Thinking",NA
"3","Yukon College","Science","https://www.yukonu.ca/programs/science","ENGL 101","Introduction to the Study of Literature",NA
"4","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 101","Principles of Biology I",NA
"5","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 101L","Principles of Biology I Lab",NA
"6","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 102","Principles of Biology II",NA
"7","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 102L","Principles of Biology II Lab",NA
"8","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 201","Cell Biology",NA
"9","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 201L","Cell Biology",NA
"10","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 202","Genetics",NA
"11","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 202L","Genetics",NA
"12","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 210","Introduction to Northern Botany",NA
"13","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 210L","Introduction to Northern Botany Lab",NA
"14","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 220","Ecology",NA
"15","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 220L","Ecology Lab",NA
"16","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 225","Ornithology",NA
"17","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 230","Conservation Biology",NA
"18","Yukon College","Science","https://www.yukonu.ca/programs/science","BIOL 290","Beringia: Its Pleistocene Environment and Paleoecology",NA
"19","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 110","The Structure of Matter",NA
"20","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 110L","The Structure of Matter Lab",NA
"21","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 111","Chemical Energetics and Dynamics",NA
"22","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 111L","Chemical Energetics and Dynamics Lab",NA
"23","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 210","Organic Chemistry I",NA
"24","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 210L","Organic Chemistry I",NA
"25","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 211","Organic Chemistry II",NA
"26","Yukon College","Science","https://www.yukonu.ca/programs/science","CHEM 211L","Organic Chemistry II",NA
"27","Yukon College","Science","https://www.yukonu.ca/programs/science","CPSC 128","Object Oriented Programming I",NA
"28","Yukon College","Science","https://www.yukonu.ca/programs/science","CPSC 129","Object-Oriented Programming II",NA
"29","Yukon College","Science","https://www.yukonu.ca/programs/science","ENVS 100","Introduction to Environmental Science I",NA
"30","Yukon College","Science","https://www.yukonu.ca/programs/science","ENVS 100L","Environmental Science I Lab",NA
"31","Yukon College","Science","https://www.yukonu.ca/programs/science","ENVS 101","Introduction to Environmental Science II",NA
"32","Yukon College","Science","https://www.yukonu.ca/programs/science","ENVS 101L","Environmental Science II Lab",NA
"33","Yukon College","Science","https://www.yukonu.ca/programs/science","ENVS 226","Environmental Change and Community Health",NA
"34","Yukon College","Science","https://www.yukonu.ca/programs/science","ENVS 227","Yukon Source Water Protection and Watershed Stewardship",NA
"35","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 101","Introduction to Physical Geography I",NA
"36","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 101L","Introduction to Physicial Geography I Lab",NA
"37","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 102","Introduction to Physical Geography II",NA
"38","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 102L","Physical Geography II Lab",NA
"39","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 250","Introduction to Mapping and Geographical Information System (GIS)",NA
"40","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 250L","Introduction to Mapping and Geographical Information System (GIS) Lab",NA
"41","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 250T","Intro-Geograph Info System Tut",NA
"42","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOG 290","Climate Change and the Circumpolar World",NA
"43","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 105","Physical Geology",NA
"44","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 105L","Physical Geology Lab",NA
"45","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 106","Historical Geology",NA
"46","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 106L","Historical Geology Lab",NA
"47","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 112","Introduction to the Mineral Exploration and Mining Industries",NA
"48","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 200","Mineralogy",NA
"49","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 200L","Mineralogy Lab",NA
"50","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 206","Sedimentology and Stratigraphy",NA
"51","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 206L","Sediment & Stratigraphy-Lab",NA
"52","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 208","Structural Geology",NA
"53","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 208L","Structural Geology Lab",NA
"54","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 211","Geochemistry",NA
"55","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 211L","Geochemistry",NA
"56","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 213","Geophysics",NA
"57","Yukon College","Science","https://www.yukonu.ca/programs/science","GEOL 213L","Intro to Geophysics-Lab",NA
