"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENGL 020","English Fundamentals",NA
"2","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","MATH 020","Mathematics Fundamentals",NA
"3","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","WORK 020","Workplace Readiness",NA
"4","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","COMP 030","Introduction to Computers",NA
"5","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENGL 030","Communication Through Reading and Writing",NA
"6","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","MATH 030","Basic Mathematics",NA
"7","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","SCI 030","Introduction to Science",NA
"8","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","BIOL 050","Introduction to Biology I",NA
"9","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","BIOL 050L","Introduction to Biology I",NA
"10","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","CHEM 050","Introduction to Chemistry I",NA
"11","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","CHEM 050L","Introduction to Chemistry I",NA
"12","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","COMP 050","Computer Fundamentals",NA
"13","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENGL 050","College Writing Skills",NA
"14","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENVS 041","Environmental Change and Community Health",NA
"15","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENVS 050","Environmental Change-Fish & Wildlife",NA
"16","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENVS 052","Yukon Water Source Protection",NA
"17","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ESL 030","Intermediate English as a Second Language",NA
"18","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ESL 031","Intermediate Speaking and Listening",NA
"19","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ESL 050","English as a Second Language",NA
"20","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ESL 051","Advanced Listening & Speaking Skills",NA
"21","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","HIST 050","History of Yukon First Nations",NA
"22","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","MATH 050","Intermediate Algebra",NA
"23","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","MATH 051","Introductory Algebra",NA
"24","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","PHYS 050","Principles of Physics",NA
"25","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","PHYS 050L","Principles of Physics",NA
"26","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","BIOL 060","Introduction to Biology II",NA
"27","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","BIOL 060L","Introduction to Biology II",NA
"28","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","CHEM 060","Introduction to Chemistry II",NA
"29","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","CHEM 060L","Introduction to Chemistry II",NA
"30","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENGL 060","Introduction to Literature",NA
"31","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","ENGL 090","Bridging English for University",NA
"32","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","MATH 060","Advanced Algebra and Trigonometry",NA
"33","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","PHYS 060","Introductory Physics",NA
"34","Yukon College","University Access Pathways","https://www.yukonu.ca/programs/university-access-pathways","PHYS 060L","Introductory Physics",NA
