"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PSYC 100","Introduction to Psychology I",NA
"2","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 100","Academic Writing and Critical Thinking",NA
"3","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 101","Introduction to the Study of Literature",NA
"4","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PSYC 101","Introduction to Psychology II",NA
"5","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","SOCI 100","Introduction to Sociology",NA
"6","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","SOCI 103","Canadian Society",NA
"7","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","WGST 100","Introduction to Women's Studies I",NA
"8","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","WGST 101","Introduction to Women's Studies II",NA
"9","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","WGST 200","Women and Social Change",NA
"10","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","WGST 230","Women and History",NA
"11","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","WGST 240","The Study of Men and Masculinities I",NA
"12","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","WGST 241","The Study of Men and Masculinities II",NA
"13","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ANTH 101","Biological and Forensic Anthropology",NA
"14","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ANTH 102","Survey of World Prehistory",NA
"15","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ANTH 103","Anthropological Archaeology",NA
"16","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ANTH 140","Introduction to the Fields of Anthropology",NA
"17","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ANTH 210","Globalization and the Culture of Capitalism",NA
"18","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ANTH 221","Subarctic Archaeology",NA
"19","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","CRIM 101","Introduction to Criminology",NA
"20","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","CRIM 103","Psychological Explanations of Crime and Deviance",NA
"21","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","CRIM 104","Sociological Explanations of Crime and Deviance",NA
"22","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","CRIM 219","Aboriginal Peoples and Canadian Criminal Justice",NA
"23","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","CRWR 201","Introduction to Creative Writing I",NA
"24","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","CRWR 202","Introduction to Creative Writing II",NA
"25","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 203","Introduction to the Novel",NA
"26","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 204","Introduction to Science Fiction",NA
"27","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 205","Literary Representations of the Natural World",NA
"28","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 206","Introduction to the Short Story",NA
"29","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 220","The North in Canadian Literature",NA
"30","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENGL 230","Indigenous Narratives",NA
"31","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENST 200","Environmental Perspectives",NA
"32","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","ENST 201","Environmental Ethics",NA
"33","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","FNST 140","Preservation of Traditional Knowledge",NA
"34","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","HIST 120","European History I",NA
"35","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","HIST 121","European History II",NA
"36","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","HIST 135","Canadian History to 1867",NA
"37","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","HIST 136","Canadian History",NA
"38","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","HIST 140","History of Yukon First Nations and Self-Government",NA
"39","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","NOST 101","The Circumpolar World",NA
"40","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","NOST 200","Research in the North",NA
"41","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","NOST 201","The Natural History of the North",NA
"42","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","NOST 202","Social History of the North",NA
"43","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PHED 222","Northern Outdoor Pursuits and Leadership I",NA
"44","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PHED 225","Northern Outdoor Pursuits and Leadership II",NA
"45","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PSYC 203","Social Psychology",NA
"46","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PSYC 204","Abnormal Psychology",NA
"47","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","PSYC 205","Child Development",NA
"48","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","RELI 101","World Religions II",NA
"49","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","SOCI 203","Sociology of the Family",NA
"50","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","SOCI 209","Society, Technology and Values",NA
"51","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","SOCI 227","Research Methods in the Social Sciences",NA
"52","Yukon College","Women’s and Gender Studies (not accepting applications)","https://www.yukonu.ca/programs/womens-and-gender-studies","THEA 200","Introduction to Acting I",NA
