"","Institution","Program","Program_url","Code","Name","Description"
"1","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 001","Basic Small Water Systems Operations",NA
"2","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 002","Water Distribution Level 1 & 2",NA
"3","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 006","Wastewater Collection Level 1 & 2",NA
"4","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 010","Bulk Water Delivery",NA
"5","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 021","Wastewater Treatment Level 1 & 2",NA
"6","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 024","Small Wastewater Systems Mechanical & Non Mechanical",NA
"7","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 031","Water Treatment Level 1 & 2",NA
"8","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO CE55","Water Distribution Level 3 and 4",NA
"9","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO CE71","Wastewater Collection Level 3 and 4",NA
"10","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 004","Iron & Manganese Removal",NA
"11","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 007","Centrifugal Pumps: Design and Application",NA
"12","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 009","Vibration Analysis",NA
"13","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 016","Cross Connection Control Awareness",NA
"14","Yukon College","Yukon Water and Wastewater Operator","https://www.yukonu.ca/programs/yukon-water-and-wastewater-operator","WO 018","Membrane Filtration for Drinking Water Treatment",NA
