institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/bachelor-of-arts-ba/,Bachelor of Arts,"Degree, Undergraduate ",,"3 Year, 4 Year","Study diverse perspectives, ideas and traditions. Plot a course from here that can take you anywhere you want to go. With a BA from CBU, you’ll have an exciting, contemporary and challenging opportunity to learn about the world around you. By gaining the knowledge, leadership skills and critical thinking required to succeed in the real world, students adapt a cross-cultural perspective that’s truly unique to Cape Breton University.",Co-op program AND Internship opportunities AND Exchange programs
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/bachelor-of-arts-and-science-in-environment/,Bachelor of Arts and Science in Environment,"Degree, Undergraduate ",,4 Year,"Create a sustainable future. Help contribute to a future we can all be proud of with a Bachelor of Arts and Science in Environment (BASE). This is CBU’s first fully interdisciplinary degree, taking advantage of the natural resources available among the breathtaking scenery on Cape Breton Island. The BASE program reflects a university-wide commitment to teaching and research in environment and sustainability, and is enriched by Indigenous perspectives.","Field Course (ENVS3104) AND Volunteer and extracurricular opportunities (e. CBU Environmental Society, Science Atlantic Environment Conference) AND Co-op option, examples include:Parks Canada technical positionsParks Canada Outreach and Education positionsACAPCape Breton Fish Harvesters Association technical positionsCBU research assistantshipsTourism organizations outreach positions AND Parks Canada technical positions AND Parks Canada Outreach and Education positions AND ACAP AND Cape Breton Fish Harvesters Association technical positions AND CBU research assistantships AND Tourism organizations outreach positions"
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/bachelor-of-arts-community-studies-bacs/,Bachelor of Arts Community Studies,"Degree, Undergraduate ",,"3 Year, 4 Year",Get to the core of community. Students from around the world come to CBU to partake in a participatory and experiential curriculum. This enables students to engage with their communities and familiarize themselves with a workplace environment.,NA
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/diploma-in-public-administration-and-management/,Diploma in Public Administration and Management,"Certificate, Diploma, Undergraduate ",,2 Year,"Help organizations move forward. The special skills you learn at CBU in the Diploma in Public Administration and Management program can take you in any direction. The knowledge you gain here will help you excel in managing people, processes and policies in various industries to help you build the solid foundation you need for the real world.",Local volunteer activities AND Large-scale community engagements AND Diverse campus events AND Option to choose a directed study project or internship AND Option to complete a special Certificate in Management (C.I.M.)
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/anthropology/,Anthropology,"Concentration, Major, Minor ",,,"Immerse yourself in humanity. If you’re looking for a place to study the most interesting aspects of life, you have certainly found it. Cape Breton is teeming with as much opportunity to learn about how humans live as anywhere in the world. At CBU, the study of anthropology is a natural fit in a natural wonderland.",Hands-on experience with modern analysis tools and techniques. AND Upper-year thesis and independent studies courses. AND Design and implement a research project involving collection and analysis of data. AND Employment opportunities with faculty as summer research assistant.
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/applied-theatre/,Applied Theatre,"Certificate, Major, Minor ",,,"Play to A universal audience. Throughout Cape Breton culture, you’ll find music, dance, theatre and the arts all around you. At CBU, we collaborate and take the stage together to engage with our community through a positive, creative medium.","Write, direct, stage manage or perform in the Boardmore One Act Festival and in the classroom. AND Conduct interviews and research to create original performance scripts. AND Develop production proposals and grant applications for mainstage and in-community theatrical work. AND Assess local performances and events. AND Earn extra credit by participating in the Boardmore mainstage season."
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/celtic-culture/,Celtic Culture,"Concentration, Minor ",,,"Give new life to an ancient culture. Off the shores of Scotland, Ireland and England, Celtic culture thrives in Nova Scotia. And Cape Breton Island represents everything this province has to offer. Situated on an incredible landscape and coastline, Cape Breton is home to warm, friendly people with a tradition of hard work, respect and commitment to community.","International exchange agreements with institutions in Ireland, Northern Ireland and Scotland. AND An archival internship working with Celtic materials at an institution such as the Beaton Institute or in a library or museum outside of CBU. AND Performance course options for dancers, musicians and/or singers."
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/communication/,Communication,"Concentration, Major, Minor ",,,"Make communication the key to your success. Clear and creative communication is critically important for safe, stable communities and workplaces. That’s why we’re proud to say Cape Breton University offers the only communication major in the Maritimes. The theories and skills learned in our program are essential for successful careers, healthy relationships and the development of a deep understanding of communication and its functions in society.",Mary A. Lynch Communication Lab (COMM1103; COMM1105; COMM2175): Students enrolled in these courses take the experiential learning Communication Lab as a mandatory component of their courses. AND Communication Lab Peer Facilitator (COMM3931): Students who have successfully completed our introductory courses may be permitted to enroll in this work-term style course providing the opportunity to facilitate small groups of students in the Communication Lab. AND Communication Lab Assistant Co-op Position (SASC2989): Students who have successfully completed COMM3931 may apply for a co-op position working in the Communication Lab.
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/english/,English,"Concentration, Major, Major with Specialization, Minor ",,,"Become an expert on the impact of english. The English language is central to the way billions of people work, play, think and relate to one another. The English program at CBU teaches you to become an expert user of the language, understanding the history and applications in all its linguistically splendid detail and nuance.",NA
Cape Breton University,Nova Scotia,122157d1-48f4-e811-a966-000d3a310f6b,TRUE,https://www.cbu.ca/academics/programs/folklore/,Folklore,"Certificate, Major, Minor ",,,"Explore cultures and traditions. Learn practical skills in interviewing, fieldwork, and ethnographic research while also gaining an awareness of international heritage policy. Folklore’s interdisciplinary nature promotes sharing concerns, methods and insights with others. Through this group learning dynamic, folklore students acquire skills and knowledge that are applicable in a wide range of careers.","International exchange agreements with institutions in Ireland, Northern Ireland and Scotland, as well as other countries around the world. AND An archival internship working with folkloric and/or archival materials at an institution such as the Beaton Institute or in a library or museum outside of CBU. AND A significant number of courses involve experiential learning units, such as our festivals course (FOLK 3603), which involves attending and analyzing the Celtic Colours International Festival, and our ethnography course (FOLK 2114), which requires producing a unique ethnographic project."
