institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/bioscience-technology.html,Bioscience Technology ,"Diploma, Bioscience Technologist",Prince of Wales Campus,2 Years,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  Graduates from this program may find employment as: Many Holland College programs have degree pathways. For more information, see our Degree Pathways section. The Bioscience Technology program is the only one of its kind in the region. As a student, you will develop and hone your laboratory and scientific research skills. Throughout the program, you will learn natural product extraction, fermentation, and bacterial and animal cell culture skills and techniques. You will take part in six weeks of on the job training so that you can apply your skills in a real work environment. You will also focus on project-based learning and will complete an independent research project on a topic of your choice. Students participate in events and seminars sponsored by the PEI BioAlliance and make site visits to local biotechnology companies. Our program is very closely associated with the biotechnology and bioscience industries on PEI and is expanding its involvement to the other Maritime provinces. This gives our students access to amazing on the job training opportunities. On the job training is developed in consultation with our industry partners. Mentoring partners from both academic and industry sources prepare and submit a brief job description to the Bioscience Technology instructors. The students then review these descriptions and submit resumés for consideration by the mentoring partners of the projects in which they are interested. We then host a day of interviews at Holland College, where students and potential mentors are allotted 20 minutes to meet and discuss the projects. Each student must interview for at least three positions. At the end of the day, both the students and the mentoring partners rank their choices in order of preference. Interviews for placements off-island can be conducted via Skype or FaceTime, or, if a student finds their own mentoring partner (potentially in his or her home province), the formal interviewing process is amended. This program is located in the Centre for Applied Science & Technology and the Charlottetown Centre. Click on the links to take a virtual tour of each building. View a detailed list of courses for this program. Holland College and UPEI offer a joint Bachelor of Science degree. The technical lab-based content is covered at Holland College in the Bioscience Technology diploma program either during the first two years of the degree for students who start at Holland College or in Year 3 for students who start at UPEI. Find out more about the Holland College/UPEI Bachelor of Science in Biotechnology joint degree here. Put our future bioscience technicians to work on your project. We are available for short-term research collaborations and specialize in isolation and purification of compounds from natural products, and compound testing (e.g. toxicity and migration assays) in bacterial and animal cell cultures. Work on these projects is led by program staff (instructors and laboratory technicians) with assistance from our students as appropriate. If you have a short-term project that you would like to discuss with us, or if you are interested in participating in more extensive applied research projects, please contact the Applied Research department. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/environmental-applied-science-technology.html,Environmental Applied Science Technology ,"Diploma, Environmental Technician",Prince of Wales Campus,2 Years,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  Graduates from this program may find employment with: Many Holland College programs have degree pathways. For more information, see our Degree Pathways section. The Environmental Applied Science Technology program teaches you scientific theory in classes such as environmental microbiology, soil science, air quality, and environmental chemistry. You will apply these theories working in rivers, streams and water treatment facilities. You will collect and analyze water and soil samples and compare results from previous years to monitor environmental health. By the time you graduate, you will be qualified to work as an environmental technician, or you may continue your education to earn a B.Sc. through one of the program’s degree pathways. Students spend three days with the Southeast Environmental Association monitoring river and stream health. The Environmental Applied Science Technology program is accredited by the Canadian Technology Accreditation Board (CTAB) of the Canadian Council of Technicians and Technologists (Technician level). CTAB accredited programs provide International Mobility rights under the International Engineering Alliance (IEA) through the Sydney and Dublin Accords. This program is located in the Centre for Applied Science & Technology and the Charlottetown Centre. Click on the links to take a virtual tour of each building. View a detailed list of courses for this program. Wildlife Conservation Technology Wildlife Conservation Technology combines the great outdoors with classroom learning. Learn everything from plant and animal ecology and environmental chemistry, to map use and analysis, canoe safety, remote first aid, and wildlife management in this two-year program.  Bioscience Technology  Earn a Bioscience Technologist Diploma in 2 years at Holland College. This is the only program of its kind in the region. Study microbiology, immunology, molecular biology and genetics and put your laboratory and research skills to work in Prince Edward Island's growing Bioscience industry.  We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/wildlife-conservation-technology.html,Wildlife Conservation Technology,"Diploma, Wildlife Conservation Technician",Prince of Wales Campus,2 Years,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  Graduates from this program may find employment with: Please note: some occupations in this field require a Criminal Record Check. Many Holland College programs have degree pathways. For more information, see our Degree Pathways section. Wildlife Conservation Technology combines the great outdoors with classroom learning. You will learn about plant and animal ecology, environmental chemistry, map use and analysis, canoe safety, advanced wilderness and remote first aid, and wildlife management. You will spend many hours in field camps, where you will conduct habitat and night animal surveys, tour parks and wildlife rehabilitation centres, learn about wildlife and human interaction, and much more. You will use your new skills during 160 hours of on the job training. Students take part in songbird banding every year, contributing to songbird population and migration research on a regional and global scale. You may also combine this program with the Conservation Enforcement program to become a conservation enforcement officer, or use it as a stepping-stone to your Bachelor in Wildlife Conservation degree from UPEI. The Wildlife Conservation Technology program is accredited by the North American Wildlife Technology Association. All students graduating from this program will receive North America-wide recognition as a Wildlife Technician and will receive a certificate from the accrediting body upon graduation. This program is located in the Centre for Applied Science & Technology and the Charlottetown Centre. Click on the links to take a virtual tour of each building. View a detailed list of courses for this program. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/correctional-officer.html,Correctional Officer,"Certificate, Correctional Officer",Atlantic Police Academy,24 Weeks,"NOTE: A Child Abuse Registry Search must also be completed in advance for cadets planning to complete their on the job training in Nova Scotia. NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.   2 long sleeve plain white dress shirts suitable to wear a black tie. (no button down collars) 1 pair of black dress pants 1 pair quality running shoes 3 pairs black socks 1 black tie – plain, single color/no patterns (clip on preferred) Graduates from this program may find employment with: The primary responsibility of a correctional officer is to monitor, supervise and interact with incarcerated offenders and prepare them to become law-abiding citizens after serving their sentences. You will learn the skills you need to ensure the safety and well-being of inmates, yourself and your colleagues. Learn how to supervise inmate movement; appropriate use of control tactics, Taser and other control devices; the principles of human relations, sociology and psychology; communications techniques, including how to brief visitors and criminal justice professionals entering the institution; extracting inmates from cells and conducting security checks; how to conduct safety equipment checks, and how to draft daily logs and reports. You will receive crisis intervention training and earn a de-escalation certification. As part of the Corrections Officer program, all cadets undergo on the job training at provincial or federal correctional facilities throughout Atlantic Canada. This real-life experience offers students the opportunity to use their skills and knowledge and it plays an integral role in preparing them for a career in corrections. The program also includes practice on a driving course and use of force/control skills, as well as communication and mental health training. Academic components include coursework in sociology, psychology, and law. Students in the Correctional Officer program are required to live in residence for the duration of their training, except when they are in on the job training. View a detailed list of courses for this program. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/police-science-cadet.html,Police Science (Cadet),"Certificate, Police Constable",Atlantic Police Academy,34 weeks,"Please note: Keep copies of all documents for your personal records. For more application information, see Police Memo 2021. (This is a PDF and will open in a new window.)  NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. Cadets will be informed of additional equipment requirements in their entrance packages. This program prepares graduates to work in police agencies as police constables and in other related fields of law enforcement and security. Many Holland College programs have degree pathways. For more information, see our Degree Pathways section. The Police Science (Cadet) program blends academic and tactical training to ensure that you have the confidence and skills needed to keep yourself and your community safe. The program blends real-life situations and simulations to prepare you for the law enforcement profession. You will practice on a driving course and gun range, learn use of force and control skills, develop criminal investigation techniques, and receive communications and mental health training. Academic components include coursework in sociology, psychology and law. Police Science cadets are required to live in residence for the duration of their training, except when they are in on the job training. The Royal Canadian Mounted Police now accepts graduates from the Atlantic Police Academy’s Police Science (Cadet) program. To join the RCMP, graduates must pass a medical examination, obtain an RCMP Security Clearance and pass an interview. Before their first posting as an RCMP officer, they will participate in a short training course instead of taking the force’s 26-week course. This program also has degree pathways - agreements that give you credit for your training when you are pursuing a degree. For more information, see our Degree Pathways section. Police Science (Cadet) application form. This form is a PDF and will open in a new window.  View a detailed list of courses for this program. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/professional-firefighter.html,Professional Firefighter,"Holland College Certificate, Firefighter – Level I and II; IFSAC Certification Seals for Firefighter Level I and II, HAZMAT Awareness, HAZMAT Operations","Atlantic Police Academy, Milton, Summerside & PEI Firefighter Training Centre",22 weeks,"Minimum Grade 12 or equivalent with credits at or above the general level Age 18 by program start date Valid Class 5 (cars and light trucks) driver’s license (students holding restricted or graduated licenses must abide by the conditions of the license). International students require a valid and current international driver’s license. Completion of Immunization Verification Form (this is a PDF and will open in a new window) (required after acceptance) Completion of Vision Examination Form (this is a PDF and will open in a new window) Criminal Record Check (Vulnerable Sector) with no findings of guilt. Find out more about Criminal Record Checks. Physical fitness test set out by the program standard conducted at the Atlantic Police Academy prior to program start date. Completion of Basic Firefighting Medical Examination. (This is a PDF and will open in a new window) Prior to visiting your physician please review this form and if there is any medical condition that you have, or suspect you may have, that is identified on the form as requiring a more detailed medical evaluation, please print the required form and take it with you on your visit to your doctor. If the doctor discovers a medical condition requiring further details, you will need to have them complete the appropriate detailed evaluation form. Resumé including work and volunteer experience with applicable dates, membership in groups, associations or athletics, awards and distinctions, and any other information about yourself relevant to the program including work and volunteer experience with applicable dates, membership in groups, associations or athletics, awards and distinctions, and any other information about yourself relevant to the program Due to the strenuous training demands, the student must be in excellent physical condition as determined by a thorough medical exam and be able to participate in extremely strenuous physical activity in hostile environments without restrictions. NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  2 long sleeve plain white dress shirts suitable to wear a black tie. (no button down collars) 1 pair of black dress pants 1 pair quality running shoes 3 pairs black socks 1 black tie – plain, single color/no patterns (clip on preferred) http://www.hollandcollege.com/blog/kelsey-axworthy-basic-firefighting.html Graduates can work internationally as professional, full-time firefighters and industrial firefighters. Firefighting is not just a job, it’s a lifestyle. In the Professional Firefighter program, you will learn the fundamental firefighting skills needed to keep yourself, your colleagues, and the public safe in critical situations. Training at an off-campus site offers you firefighting experience in a controlled environment. You will learn about fire behaviour, motor vehicle extraction, medical first response, and communication in these training simulations. Field training familiarizes students with equipment, including trucks, pumps, respirators, and hydraulic rescue tools such as Jaws of Life, to deal with fires, automotive accidents and public safety incidents. You will participate in eight weeks of on the job training in a career or a composite (career and volunteer firefighters) department of your choosing, with certain restrictions.Students are required to live in residence for the duration of their training, except when they are in on the job training. The Professional Firefighter program was established in accordance with the National Fire Protection Association Standard (NFPA1001) for fire service professional qualifications. This program obtains its accreditation in accordance with the International Fire Service Accreditation Congress (IFSAC) guidelines. The Professional Firefighter program is accredited by the Canadian Forces College Opportunities Program through the Association of Canadian Community Colleges (ACCC). The program has an established partnership with the Prince EdwardIsland Firefighters Association. View a detailed list of courses for this program. Read about Professional Firefighter graduate Kelsey Axworthy in this blog post. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/sheriff-and-public-safety-officer.html,Sheriff and Public Safety Officer,"Certificate, Sheriff and Public Safety Officer",Atlantic Police Academy,24 Weeks,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  2 long sleeve plain white dress shirts suitable to wear a black tie. (no button down collars) 1 pair of black dress pants 1 pair quality running shoes 3 pairs black socks 1 black tie – plain, single color/no patterns (clip on preferred) Graduates of this program may find employment with: Sheriff Public safety officer Municipal peace officer Highway safety University policing Bylaw enforcement Armored car Cell block security Learn the skills required to be successful in many different careers related to law enforcement and security. You will receive practical driving and firearms training, and learn the national use of force framework and hands-on control tactics, and you will undergo communications and mental health training.  As part of the Sheriff and Public Safety Officer program, all cadets participate in on the job training at various security facilities throughout Atlantic Canada. This real-life experience provides students with the opportunity to use their skills and knowledge, and gives them the fundamental skills needed to pursue a career in policing or corrections. Sheriff and Public Safety Officer cadets are required to live in residence for the duration of their training, except when they are in on the job training. View a detailed list of courses for this program. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/accounting-technology.html,Accounting Technology,"Diploma, Accounting Technician",Prince of Wales Campus,2 Years,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  Graduates from this program may find employment with: Many Holland College programs have degree pathways. For more information, see our Degree Pathways section. In the Accounting Technology program, you will study financial accounting, personal taxation, cost accounting, business law, corporate taxation and more from knowledgeable instructors and industry speakers, and you will get work experience during an on the job training placement. If your grades in financial accounting, managerial accounting, business law, economics and computers are acceptable, you may be granted credit exemptions by the Chartered Professional Accountants (CPA) Advanced Certificate in Accounting and the CPA Prerequisite Education Program, as well as at other colleges and universities. This program is located in the Charlottetown Centre. Click here to take a virtual tour. View a detailed list of courses for this program. Business Administration The two-year Business Administration program at Holland College teaches entrepreneurship, fundamental business functions, and the communication skills you need for a career in business management. Marketing and Advertising Management Study Marketing and Advertising Management at Holland College to learn the skills you'll need to conduct market research, develop a marketing strategy and execute marketing communications plans. Get ready for a career in this diverse and expanding field with this two-year program.  We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/administrative-assistant.html,Administrative Assistant,"Certificate, Administrative Assistant",West Prince Campus,1 Year,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  Graduates from this program may find employment with: This program gives you the skills needed to work in the fast paced, ever-changing role of an administrative assistant. You will take courses such as office procedures, keyboarding, business communications, English, and office finance. These courses will prepare you for a four-week on the job training placement. You can continue your training by transferring select credits to the Legal Administration or Medical Support Services program. This program is offered face-to-face and via distance delivery. View a detailed list of courses for this program. We're ready to help! Ask a recruiter about this program.",
Holland College,Prince Edward Island,2e804492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.hollandcollege.com/programs/administrative-assistant-distance-learning.html,Administrative Assistant - Distance Learning,"Certificate, Administrative Assistant",Distance Learning,1 Year,"NOTE: If your first language is not English please review our English Language Requirements page.https://www.hollandcollege.com/admissions/language-requirements.html Fees for the academic year 2019/2020. Please note: Tuition and Fees are listed in Canadian dollars. International Student Fee is an additional $4,000 per year. International Health Fee is an additional $750 per year. International Student Fees are due on the first day of class.  Graduates from this program may find employment with: If you would like to train to become an administrative assistant but are not able to attend classes on the West Prince Campus, the Administrative Assistant distance learning program might be just right for you. The program gives you the skills you need to be an administrative assistant. You will take courses such as office procedures, keyboarding, business communications, English, and office finance. The courses will prepare you for a four-week on the job training placement. You can continue your training by transferring select credits to the Legal Administration or Medical Support Services program. View a detailed list of courses for this program. We're ready to help! Ask a recruiter about this program.",
