institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ACC&pln=ACCONNECT,Academic and Career Connections,Certificate,eCampus AND Annapolis Valley Campus AND Burridge Campus AND Cumberland Campus AND eCampus AND Institute of Technology Campus AND Ivany Campus AND Kingstec Campus AND Marconi Campus AND Pictou Campus AND Strait Area Campus AND Truro Campus,1 Year (Varies for part-time or blended studies),,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ACHV&pln=ACHIEVECOC,Achieve,Certificate of Completion,Akerley Campus AND Annapolis Valley Campus AND Burridge Campus AND Lunenburg Campus AND Marconi Campus AND Pictou Campus AND Strait Area Campus AND Truro Campus,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ADCO&pln=ADDICO,Addictions Community Outreach,Advanced Diploma,Kingstec Campus,1 Year,,Community Projects Internship AND Work Experience I AND Work Experience II
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ALP&pln=ALPLEVEL4,Adult Learning Program (ALP),N.S. High School Graduation Diploma for Adults,Akerley Campus AND Annapolis Valley Campus AND Burridge Campus AND Burridge Campus AND Cumberland Campus AND Cumberland Campus AND eCampus AND Institute of Technology Campus AND Kingstec Campus AND Lunenburg Campus AND Marconi Campus AND Pictou Campus AND Shelburne Campus AND Strait Area Campus AND Truro Campus,Varies depending on the course load and progress of student (Varies for part-time or blended studies),,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ALP&pln=ALP-ACTO,Adult Learning Program (ALP) – African Canadian Transition Concentration,N.S. High School Graduation Diploma for Adults,Akerley Campus,Varies depending on the course load and progress of student,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ALP&pln=ALP-EAL,Adult Learning Program (ALP) – English as an Additional Language (EAL) Concentration,N.S. High School Graduation Diploma for Adults,Institute of Technology Campus,Varies depending on the course load and progress of student,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS,Aircraft Maintenance Engineer - Avionics,Diploma,Aviation Institute,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AIRE&pln=AIRMAINENG,Aircraft Maintenance Engineer - Mechanical,Diploma,Aviation Institute,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMES&pln=AIRMAINSTR,Aircraft Maintenance Engineer - Structures,Certificate,Aviation Institute,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ASLS&pln=ASLSTUD,American Sign Language (ASL) Studies,Certificate,Ivany Campus,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ASLA&pln=AMSIGNLANG,American Sign Language/English Interpretation,Diploma,Ivany Campus,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS,Applied Media and Communication Arts,Certificate,Ivany Campus AND Marconi Campus,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN,Architectural Engineering Technician,Diploma,Ivany Campus AND Ivany Campus,2 Years (Varies for part-time or blended studies),,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ASRP&pln=AUTOSERVRE,Automotive Service and Repair,Certificate,Akerley Campus AND Akerley Campus/Online AND Burridge Campus AND Kingstec Campus AND Lunenburg Campus AND Marconi Campus AND Pictou Campus,1 Year (Varies for part-time or blended studies),,Work Experience
