institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//baccalaureat-en-administration-des-affaires,Baccalauréat en administration des affaires,Baccalauréat en administration des affaires,Pointe-de-l'Église,4 ans,Ce programme permet à l'étudiant d'acquérir et de développer les aptitudes nécessaires à l'exercice des fonctions de gestion dans les entreprises.,
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//baa-programme-education-cooperative,Baccalauréat en administration des affairesprogramme d'éducation coopérative Garantie d'emploi,Baccalauréat en administration des affaires (programme coopératif),Pointe-de-l'Église,4 ans,"",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//baa-commerce-international,Baccalauréat en administration des affairescommerce international Suspendu,Baccalauréat en administration des affaires commerce international,Pointe-de-l'Église,4 ans,"",Grammaire pratique I* AND Grammaire pratique II*
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-commerce,Baccalauréat ès artsavec majeure en commerce,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,"Ce programme permet à l'étudiant d'acquérir une formation générale grâce à un éventail de cours choisis parmi des cours de langues, de sciences ou de sciences humaines. Il met l'accent sur l'étude de l'anglais et du français, tout en permettant à l'étudiant de choisir parmi les cours ceux qui lui conviennent en fonction de ses intérêts et de ses besoins.",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-francais,Baccalauréat ès artsavec majeure en français,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,Ce programme comprend un ensemble de cours permettant de maîtriser des outils linguistiques essentiels et d'acquérir une formation dans le domaine des littératures de la francophonie.,
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-double-majeure,Baccalauréat ès artsavec double majeure,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,"Les programmes de Baccalauréat ès Arts permettent à l'étudiant d'acquérir une formation générale grâce à un éventail de cours choisis parmi les langues, les sciences et les sciences humaines. Ils permettent à l'étudiant de choisir les disciplines qui lui conviennent en fonction de ses intérêts et de ses besoins tout en lui permettant d'acquérir une maîtrise solide du français et de l'anglais et de bonnes connaissances des littératures de ces deux langues.Il peut accéder aux études supérieures et ses qualifications lui ouvrent de nombreuses portes sur le marché du travail. AND 120 crédits - 4 ans",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-specialisation-francais,Baccalauréat ès artsavec spécialisation en français,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,L'objectif de ce programme est d'offrir à l'étudiant une solide formation linguistique et littéraire pouvant mener à un programme de maîtrise ou à diverses professions liées à la communication. AND 120 crédits - 4 ans,Grammaire pratique I* AND Grammaire pratique II*
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-anglais-francais-traduction,Baccalauréat ès artsavec double majeure (français/anglais)et avec certificat de traductionSuspendu,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,Ce programme professionnel est animé d'un esprit de collaboration et d'entraide entre universités francophones en milieu minoritaire. AND Programme offert en collaboration par l'Université Sainte-Anne et le Collège universitaire de Saint-Boniface (CUSB),
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//maitrise-es-arts-en-cultures-et-espaces-francophones,Maîtrise ès artsen cultures et espaces francophonesMention littérature et linguistique,Maîtrise ès arts (M.A.)avec mention Littérature et linguistiqueou Sciences humaines,"Pointe-de-l'Église, Halifax, Petit-de-Grat, Saint-Joseph-du-Moine, Tusket","","Ce programme offre une formation théorique et pratique dans plusieurs domaines des études francophones, vous permettant d'acquérir une spécialisation plus approfondie en études de l'Acadie et des francophonies canadiennes et internationales. L'approche pluridisciplinaire vous permettra d'avoir un regard large et diversifié sur les enjeux sociaux et culturels des divers espaces et cultures francophones. La structure du programme vous donnera la possibilité d'approfondir un domaine spécifique se rattachant aux grands ensembles de recherche que sont la littérature et la linguistique ainsi que les sciences humaines.",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-anglais,Baccalauréat ès artsavec majeure en anglais,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,"Le baccalauréat ès arts avec majeure en anglais offre une formation en littératures de langue anglaise, comparative et canadienne. Il permet à l'étudiant de développer ses capacités d'analyse critique, de synthèse, et de communication orale et écrite. En plus, le contexte francophone de l'Université Sainte-Anne permet à l'étudiant d'acquérir une fondation solide pour les carrières bilingues. AND 120 crédits - 4 ans",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//certificat-als,Certificat en anglais langue seconde,Certificat en anglais langue seconde,Pointe-de-l'Église,Deux ans (pour ceux qui commencent au niveau débutant),"Ce certificat répond aux besoins des étudiants qui veulent apprendre l’anglais en tant que langue seconde ou langue étrangère. Le programme se déroule à temps partiel; donc, il pourra être suivi pendant que l’étudiant poursuit un diplôme à l’Université Sainte-Anne, notamment, le baccalauréat en administration des affaires.",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-sans-majeure,Baccalauréat ès artssans majeure,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,3 ans,"Les programmes de Baccalauréat ès Arts permettent à l'étudiant d'acquérir une formation générale grâce à un éventail de cours choisis parmi les langues, les sciences et les sciences humaines. Ils permettent à l'étudiant de choisir les disciplines qui lui conviennent en fonction de ses intérêts et de ses besoins tout en lui permettant d'acquérir une maîtrise solide du français et de l'anglais et de bonnes connaissances des littératures de ces deux langues.Il peut accéder aux études supérieures et ses qualifications lui ouvrent de nombreuses portes sur le marché du travail. AND 90 crédits - 3 ans",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-histoire,Baccalauréat ès artsavec majeure en histoire,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,"Ce programme offre à l'étudiant qui s'y inscrit l'occasion d'acquérir des connaissances historiques qui expliquent le passé de la civilisation occidentale surtout; il porte, à l'époque moderne, une attention particulière à la France, à la Grande-Bretagne, au Canada et à l'Acadie des Maritimes. Il comprend aussi, pour une sensibilisation accrue à la nature de l'histoire, un volet consacré à la méthodologie et à la philosophie avec études en historiographie. AND 120 crédits - 4 ans",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-etudes-acadiennes,Baccalauréat ès artsavec majeure en études acadiennes,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,"Les objectifs de la majeure en études acadiennes se situent dans un contexte de développement de la communauté acadienne et de promotion de sa culture. La vitalité culturelle, sociale et linguistique de l'Acadie de la Nouvelle-Écosse repose, en grande partie, sur les programmes d'études qu'offre son université française et qui sont au cœur de sa mission depuis 1890. AND 120 crédits - 4 ans",Cours pratique en archéologie. École de fouille AND Cours pratique en archéologie AND Grammaire pratique I* AND Grammaire pratique II*
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-etudes-canadiennes,Baccalauréat ès artsavec majeure en études canadiennes,Baccalauréat ès Arts (B.A.),Pointe-de-l'Église,4 ans,120 crédits - 4 ans,Grammaire pratique I* AND Grammaire pratique II* AND Grammaire pratique I* AND Grammaire pratique II* AND Grammaire pratique I* AND Grammaire pratique II*
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bss,Baccalauréat en service social (B.S.S.)Partenariat avec l'Université Laurentienne,Baccalauréat spécialisé en service social (B.S.S.) - Diplôme décerné par l'Université Laurentienne.,"Pointe-de-l'Église, Halifax, Petit-de-Grat, St-Joseph-du-Moine, Tusket",4 ans,Une carrière enrichissante en service social vous attend! AND 120 crédits - 4 ans (1+3),
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bed-elementaire-flm,Baccalauréat en éducationoption enseignement à l'élémentaire :français langue maternelle Garantie d'emploi,Baccalauréat en éducation,"Pointe-de-l'Église, Halifax, Petit-de-Grat, St-Joseph-du-Moine, Tusket",2 ans,"Parmi les universités de la Nouvelle-Écosse offrant des programmes de baccalauréat en éducation, l'Université Sainte-Anne est la seule à former les enseignants à l'enseignement du français langue maternelle et à décerner le diplôme de spécialiste en enseignement du français langue seconde.",Modèles et pratiques à l'élémentaire  AND Modèles et pratiques à l'élémentaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage 
