institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/access/program/ace-jhs/,Academic and Career Entrance (John Howard Society),College Certificate,Ottawa - John Howard Society,Full-timeOn Campus24 Weeks,"",""
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/access/program/ace-smiths-falls/,Academic and Career Entrance (Smiths Falls),College Certificate,Smiths Falls,Full-timeOn Campus24 Weeks,"",""
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/access/program/woodroffe/,Academic and Career Entrance (Woodroffe),College Certificate,Ottawa,Full-timeOn Campus24 Weeks,"",""
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/pembroke/future/academic-upgrading/,Academic and Career Entrance,College Certificate,Pembroke,Full-timeOn Campus24 Weeks,"",""
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/healthandcommunity/program/academic-pathway-for-movement-from-ontario-college-diploma-in-practical-nursing-to-bscn/,Academic Pathway for Movement from Ontario College Diploma in Practical Nursing to BScN,College Certificate,Ottawa,Full-timeOn Campus12 Weeks,"Resources The bridge to life-long learning and career advancement.  The Academic Pathway for Movement from Ontario College Diploma in Practical Nursing to BScN program is for Registered Practical Nurses who want to continue their studies towards a Bachelor of Science in Nursing. This College-Approved Certificate program is the bridge you need to enter into the collaborative BScN program with the University of Ottawa.  This one-term program is for those who are lifelong learners, dedicated to the nursing profession, with strong communication skills. You complete a program of study leading to the opportunity to demonstrate your eligibility for course equivalencies in the BScN program.  After completing this program, submit a portfolio for review and participate in an interview. If you successfullly complete all portions of the program, you then receive a certificate that, in addition to other required pre-requisites, allows you to enter the bridging courses at the University of Ottawa.  This program is well-suited for students who:  Tuition fees listed are in effect for the 2019-2020 academic year.  Tuition Fees: $2,395.  Information Technology Fee: $159.62.  A $22 graduation fee.  A $20 transcript fee is payable in the first term a student attends Algonquin College.  Students paying the Information Technology fee are provided with a network account, an email address, and Internet access. For more information please visit our website at www.algonquincollege.com/its/services/it_fee.htm.  Books cost approximately $130.  All applicants must attend an information session, meet the program eligibility requirements and submit the following:  Proof of Study in English - Three years full time (if applicable) Ontario Secondary School Diploma or equivalent including: SBI4U (65% Minimum), SCH4U (65% Minimum), and MCF3M (50% Minimum) or one 4U Mathematics course or equivalent. Graduates of the Algonquin College PN program are given equivalence for SCH4U. Graduates of the Algonquin College pre-nursing program are given equivalence to all three pre-requisites provided they achieve the minimum averages (as noted above). ",Nursing and Health - Practicum
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/business/program/accounting-and-financial-practice/,Accounting and Financial Practice,Ontario College Graduate Certificate,Ottawa,Full-timeOn Campus42 Weeks,"Resources A career in accounting provides the flexibility to work in a number of industries. The one-year Accounting and Financial Practice Ontario College Graduate Certificate provides you with the required knowledge and skills essential to begin and advance in the field of accounting. With a wide range of accounting and financial responsibilities present in the financial sector, there is a continuous demand for junior and intermediate accounting personnel.  In this program, you focus on accounting practices that incorporate technology used in a variety of business environments. With the use of financial accounting software and spreadsheet applications, you gather and analyze financial information and prepare financial reports.  Through financial scenarios and practical exercises, you develop in-depth knowledge of financial accounting, managerial accounting, taxation, audit and finance, and acquire the skills, terminology, concepts and tools required in the field of accounting. The program concludes with a capstone business case that gives you the opportunity to consolidate the knowledge and skills applied and practiced throughout the program.  Graduates of this program are well prepared for careers in the field of financial accounting, managerial accounting, taxation, and audit employment in government, public practice and not-for-profit organizations.  Graduates may find employment opportunities in the following roles: Accounts Payable Co-ordinator, Accounts Receivable Co-ordinator, Payroll Assistant, Property Accountant, Staff Accountant, Accounting Associate, Accounting Assistant, Accounting Technician, Financial Analyst, Budget Officer, Audit Assistant, and Tax Preparer. The graduate has reliably demonstrated the ability to: 
   Tuition and related ancillary fees for this program can be viewed by using the Tuition and Fees Estimator tool at www.algonquincollege.com/fee-estimator.  Further information on fees can be found by visiting the Registrar`s Office site at www.algonquincollege.com/ro.  Fees are subject to change. Ontario College Diploma, Ontario College Advanced Diploma or Degree. International applicants must provide proof of the subject specific requirements noted above along with proof of either: (IELTS / TOEFL)IELTS-International English Language Testing Service (Academic) Overall band of 6.5 with a minimum of 6.0 in each band. OR TOEFL-Internet-based (iBT)-overall 88, with a minimum of 22 in each component: Reading 22; Listening 22; Speaking 22; Writing 22.  Applicants with international transcripts must provide proof of the subject specific requirements noted above and may be required to provide proof of language proficiency. Applications to full-time day programs must be submitted with official transcripts showing completion of the academic admission requirements through:  ontariocolleges.ca 60 Corporate Court Guelph, Ontario N1G 5J3 1-888-892-2228  Applications are available online at www.ontariocolleges.ca. A $95 fee applies.  Applications for Fall Term and Winter Term admission received by February 1 will be given equal consideration. Applications received after February 1 will be processed on a first-come, first-served basis as long as places are available.  International applicants applying from out-of-country can obtain the International Student Application Form at https://algonquincollege.force.com/myACint/ or by contacting the Registrar`s Office.  For further information on the admissions process, contact:  Registrar`s Office Algonquin College 1385 Woodroffe Ave Ottawa, ON K2G 1V8 Telephone: 613-727-0002 Toll-free: 1-800-565-4723 TTY: 613-727-7766 Fax: 613-727-7632 Email: AskUs@algonquincollege.com  Programs at Algonquin College are Bring Your Own Device (BYOD). To see the BYOD requirements for your program, please visit: https://www7.algonquincollege.com/byod/ For additional information please contact the program coordinator Tanya Sadler, sadlert@algonquincollege.com or 613-727-4723 ext. 6332",
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/online/program-info/accounting-part-time/,Accounting,College-approved Certificate,Online,Part-time  Online,"This College Certificate program provides students with the skills and knowledge needed to embark on or further develop a career in bookkeeping/accounting. Through applied exercises and assignments using accounting and office productivity software, students develop a foundation in financial accounting, management accounting, taxation and compliance filings, accounting software and spreadsheet applications.  To qualify for this certificate, you must complete the program within six years. This program is well-suited for students who: While graduates from this program may find similar entry-level employment to graduates of the Bookkeeping Certificate, the skills and knowledge provide greater opportunities for advancement in clerical accounting roles, such as accounts payable clerk, accounts receivable clerk, bookkeeper and general accounting clerk.  Fees for part-time programs are charged on a course-by-course basis and are published on each individual course page. For questions related to fees, please call the Registrar's Office at 613-727-0002. Once you have completed all the courses in the program, it is 
the responsibility of the student to contact the Registrar's Office to obtain a certificate/diploma application. A graduation fee of $22 will be charged when the application is submitted. When your certificate/diploma application has been approved, you will be invited to Spring or Fall Convocation. There is no application process for this program. You can register for courses online by clicking on the course title, and selecting “Register Online”. The courses take place entirely online and do not require you to come to campus. Without a set class time you can complete your assignments when it’s most convenient for you while following the course deadlines. Different courses may be available each semester so don’t forget to check back regularly. For more information, please use the Online Learning Chat located at the bottom of this page. You can also contact us at online@algonquincollege.com or 613-727-4723 ext. 3330. Graduates of the Accounting certificate can take additional courses to complete the two-year Business-Accounting Ontario College Diploma program. The Academic Planner provides registered part-time students in the Online Learning the ability to declare into a program of study. The Academic Planner outlines successfully completed courses to date, as well as courses that need to be completed in order to meet graduation requirements. It is therefore, essential that all part-time students in Online Learning declare to their program of study, allowing administrators to plan course offerings. The tool is available on ACSIS, located under 'Continuing Education' on the left-hand toolbar. As per policy AA39: Program Progression and Graduation Requirements when students are admitted to a program,  they are assigned to the Program of Study that aligns with their start date. If  a student takes a break for two or more consecutive terms the Program of Study  is reset to align with the current version (when studies are resumed). If you started the Accounting Certificate program between September 2013 and before August 2014, to complete the Certificate you need to successfully complete ACC2201, BUS2301, ACC2202, ACC2204, ACC2205, ACC2344, ACC2152, ACC2354, ACC2355, ACC2384, ACC2343 and ENL1813 or equivalent courses. If you started the Accounting Certificate Program between August 2014 and before September 2016, to complete the Certificate you need to successfully complete: QUA2227, ACC2201, BUS2301, ACC2202, ACC2204, ACC2205, ACC2346, ACC2152, ACC2384, ACC2343, ACC2233 and ACC2234 or equivalent courses. If you started the Accounting Certificate program after September 2016, to complete the Certificate you need to successfully complete QUA0002, ACC2201, ACC2202, ACC2204, ACC2205, ACC2346, ACC2152, ACC2384, ACC2343, ACC2233, ACC2234, ACC5039 and OFF2395 or equivalent courses.",
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/pembroke/program/action-sports-park-development/,Action Sports Parks Development,Ontario College Certificate,Pembroke,Full-timeOn Campus1 Year,"Resources Build a career in the exciting world of action sports with a program unlike any other in Canada. The one-year Action Sports Park Development Ontario College Certificate program offers a one-of-a-kind learning experience at Algonquin College`s Waterfront Campus in Pembroke. This program provides you with skills that are essential for the development or management of action sports sites, such as: 
 Learn about construction, maintenance and program planning specific to these facilities. Develop business skills such as event planning, marketing, and risk management to succeed in many areas of the action sports industry.  Spend 40 percent your time in the field training. You have the unique opportunity to explore action sports parks in the Ottawa Valley and learn from real-world examples.  Acquire and practice skills that are relevant to the action sports world, with courses such as: 
 Upon graduation, benefit from having a certificate that reflects a program unlike any other in Canada. You also earn built-in certifications that can enhance your career options, including safe chainsaw operation and welding.  Graduates may find employment as a(n): 
 Graduates may also find work with a park builder using private facilities, contracted-builders and municipalities.  Graduates may find employment as action sports program coordinators, ski terrain park staff, trail builders, trail maintenance crews, municipal skate park staff, as well as trail and park builders with private facilities, contracted- builders and municipalities. The graduate has reliably demonstrated the ability to: 
 Tuition and related ancillary fees for this program can be viewed by using the Tuition and Fees Estimator tool at www.algonquincollege.com/fee-estimator. Further information on fees can be found by visiting the Registrar`s Office website at www.algonquincollege.com/ro. Fees are subject to change.  Additional program related expenses include:  Safety equipment including safety boots, eyewear, work gloves, high visibility work vest, hard hat, action sports helmet will cost approximately $300. Textbooks cost approximately $400. Certification and training costs are approximately $250. Should the number of qualified applicants exceed the number of available spaces, applicants will be selected on the basis of their proficiency in English.  Should the number of qualified applicants exceed the number of available spaces, applicants will be selected on the basis of their proficiency in English. Applications to full-time day programs must be submitted with official transcripts showing completion of the academic admission requirements through:  ontariocolleges.ca 60 Corporate Court Guelph, Ontario N1G 5J3 1-888-892-2228  Students currently enrolled in an Ontario secondary school should notify their Guidance Office prior to their online application at www.ontariocolleges.ca. Applications for Fall Term and Winter Term received by February 1 will be given equal consideration. Applications received after February 1 will be processed on a first-come, first-served basis as long as places are available.  International applicants please visit this link for application process information: https://algonquincollege.force.com/myACint/. For further information on the admissions process, contact:  Registrar`s Office Algonquin College in the Ottawa Valley 1 College Way Pembroke, ON K8A 0C8 Local: 613-735-4700 Toll-free 1-800-565-4723 TTY: 1-866-620-3845 Fax: 613-735-4739  https://www.algonquincollege.com/pembroke  Programs at Algonquin College are Bring Your Own Device (BYOD). To see the BYOD requirements for your program, please visit: https://www7.algonquincollege.com/byod/.   This is a physically demanding program. Students must be in good physical condition, be able to spend extended periods of time working out-of-doors in all seasons and carry heavy loads, have good manual dexterity, and work in remote and rugged settings. A current Standard First Aid and CPR certificate is preferred prior to registration. Otherwise, the student must obtain the certificate within the first two months of the first level.  Graduates of this program receive credit for up to six courses in the Outdoor Adventure program and may also receive advanced standing credit for the Event Management program. For more information, contact Cameron Dube, Program Coordinator, at 613-735-4700 ext. 2718 or dubec@algonquincollege.com. ",Field Projects
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/online/program-info/addictions-and-mental-health-part-time/,Addictions and Mental Health,Ontario College Graduate Certificate,Online,Part-time  Online,"This fully online Ontario College Graduate Certificate program is primarily designed to enhance and further develop the skills of individuals who already work in health care or the social services field and who are interested in specializing in addictions and mental health. There is a growing need for coordinated services by professionals with the knowledge and skills to treat concurrent disorders. Students take an interdisciplinary approach to the study of mental health, mental illness and substance use including focus on holistic assessment and intervention strategies, recovery process and promotion of ongoing mental health. Students acquire the knowledge, skills and abilities required by front-line workers and supervisors to deliver responsive and effective substance use disorder treatment and mental health services, while promoting empowerment, self-determination and optimum quality of life to individuals. Students gain practical experience through the supervised field placement in the field. Upon completion of the program, students possess the knowledge and skills to work with vulnerable populations in a variety of community mental health and addictions services settings, dependent on their prior experience and credentials. These settings may include social service and government agencies, mental health agencies, residential treatment centres, group homes, homeless shelters, school boards, services for women, services for aboriginal people, crisis response services, correctional facilities, hospitals, long-term care facilities, hospices and other establishments.  This program is well-suited for students who: The graduate has reliably demonstrated the ability to:  Graduates may find employment opportunities in the addictions and mental health field as community support workers, addictions recovery coaches, team leaders, housing workers, case managers, clinicians, counsellors, crisis workers, program evaluation coordinators, addictions counsellors and mental health workers.  Fees for part-time programs are charged on a course-by-course basis and are published on each individual course page. For questions related to fees, please call the Registrar's Office at 613-727-0002. Once you have completed all the courses in the program, it is 
the responsibility of the student to contact the Registrar's Office to obtain a certificate/diploma application. A graduation fee of $40 will be charged when the application is submitted. When your certificate/diploma application has been approved, you will be invited to Spring or Fall Convocation. International applicants must provide proof of the subject specific requirements noted above along with proof of either:  (IELTS / TOEFL)  Applicants with international transcripts must provide proof of the subject specific requirements noted above and may be required to provide proof of language proficiency. International applicants must provide proof of the subject specific requirements noted above along with proof of either:  (IELTS / TOEFL)  Applicants with international transcripts must provide proof of the subject specific requirements noted above and may be required to provide proof of language proficiency. We are currently accepting applications for the Fall 2019 intake. Applications to Grad Cert Part-time programs must be submitted via our online application form. There is no application fee. Prior to starting your application, please ensure that you have consulted the program admission requirements and have all the supporting documentation in a digital format ready to be uploaded. Applications submitted in a paper format or via email will not be accepted and incomplete applications will not be processed. Applications will typically be processed within 2-3 weeks but can take longer during peak times and start of academic terms. Applicants are encouraged to apply at least 4-6 weeks prior to start of term.  To qualify for this graduate certificate, you must complete the program in 6 years. For more information, please use the Online Learning Chat located at the bottom of this page. You can also contact us at online@algonquincollege.com or 613-727-4723 ext. 3330. The physical and emotional health of each applicant to the program must be such that he or she can successfully cope with the program of instruction including the demands of field placement (e.g. stress and time management). Individuals who have concerns about their ability to meet these requirements should contact CCOL at OL@algonquincollege.com prior to submitting an application.  Students accepted into the Addictions and Mental Health program must provide evidence of full and complete immunizations. The Algonquin College Health Services will review the student's record of immunization and provide authorization for entry into field placement. Some field placement agencies may require the Hepatitis B vaccine and the Influenza vaccine.  Though not an admission requirement, applicants must note important information listed below regarding Police Record Check program requirements. To be eligible for placement, you must submit proof of a PRCSVS, which will be retained on your departmental file and used only for purposes related to your placement. You will be required to disclose the contents of the PRCSVS, including all notations, to the placement agencies.  It is your responsibility to obtain the PRCSVS from your local Police department prior to the deadline identified by your Department and to pay any associated costs. It may take a long time to obtain this documentation; please submit your application as early as possible. Should you require further information, contact CCOL at OL@algonquincollege.com.  Students must also obtain First Aid and CPR level ""C"" certificate in order to be eligible for field placement.  To see when courses will be running, view our breakdown of course scheduling over the next few academic years to help plan your studies.",
Algonquin College,Ontario,717e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/,Advanced Care Paramedic,Ontario College Graduate Certificate,Ottawa,Full-timeOn Campus1 Year,"Resources Elevating leadership while mastering advanced paramedic care. The one-year Advanced Care Paramedic Ontario College Graduate Certificate program is accredited by EQual Accreditation Canada and adheres to the National Occupation Competency Profile for advanced care paramedic practice. It is designed to train current Primary Care Paramedics (PCP) in all aspects of advanced care paramedicine.  Build on your existing knowledge and skills to develop greater critical-thinking processes, increased leadership qualities, and master advanced skills in: 
 The program is comprised of three components: 
 Students must take a comprehensive written examination and oral board examination with the program medical director at the end of the practicum.  The authority to practice as an advanced care paramedic student (ACP) is contingent on being in good standing with a Paramedic Service (if applicable) and upon certification by a medical director.  Graduates are eligible to write the provincially administered Advanced Care Paramedic Examination and, if successful, may be employed as advanced care paramedics in Ontario. Graduates may also find employment in other jurisdictions across North America. Opportunities may arise in aeromedical transport, critical care, hospital emergency rooms, emergency management and education. The graduate has reliably demonstrated the ability to: 
   Tuition and related ancillary fees for this program can be viewed by using the Tuition and Fees Estimator tool at www.algonquincollege.com/fee-estimator.  Further information on fees can be found by visiting the Registrar`s Office site at www.algonquincollege.com/ro.  Fees are subject to change.  Additional program related expenses include:  The certification fee for the Advanced Care Paramedic examination administered by the Ontario Ministry of Health is $100 (subject to change). Base Hospital student certification is $500. Mandatory Non-Violent Crisis Intervention course is $110 (subject to change). Textbooks, manuals, and materials (including scrubs for the hospital portion) cost approximately $2,300. Police Records Check Documentation:Though not an admission requirement, applicants must note important information listed below regarding Police Records Check program requirements.  Successful completion of clinical placement is a requirement for graduation from the Advanced Care Paramedic program. Agencies that provide placement opportunities require you to have a clear Police Records Check for Service with the Vulnerable Sector (PRCSVS). Your acceptance for placement is at the discretion of the agency. If you register in the program without a clear PRCSVS and as a result are unable to participate in placement, you will not be able to graduate.  Clinical Placement Eligibility:To be eligible for placement, you must submit proof of a clear PRCSVS, which will be retained on your departmental file and used only for purposes related to your placement. You will be required to disclose the contents of the PRCSVS, including all notations, to the placement agencies.  It is your responsibility to obtain the PRCSVS from your local Police Department prior to the deadline identified by your Department and to pay any associated costs. It may take a long time to obtain this documentation; please submit your application as early as possible.  Hospital and Field Practicums require Health and Safety, WHMIS and OWHSA training, an approved Non-Violent Crisis Intervention (NVCI) course, as well as High Risk Personal Protective Equipment training prior to placements. There are costs associated with training that should be anticipated by the students, which are not covered by tuition fees. Should you require further information, contact the Program Chair. Successful completion of clinical placement is a requirement for graduation from the Advanced Care Paramedic program. Agencies that provide placement opportunities require you to have a clear Police Records Check for Service with the Vulnerable Sector (PRCSVS). Your acceptance for placement is at the discretion of the agency. If you register in the program without a clear PRCSVS and as a result are unable to participate in placement, you will not be able to graduate.  Clinical Placement Eligibility:To be eligible for placement, you must submit proof of a clear PRCSVS, which will be retained on your departmental file and used only for purposes related to your placement. You will be required to disclose the contents of the PRCSVS, including all notations, to the placement agencies.  It is your responsibility to obtain the PRCSVS from your local Police Department prior to the deadline identified by your Department and to pay any associated costs. It may take a long time to obtain this documentation; please submit your application as early as possible.  Hospital and Field Practicums require Health and Safety, WHMIS and OWHSA training, an approved Non-Violent Crisis Intervention (NVCI) course, as well as High Risk Personal Protective Equipment training prior to placements. There are costs associated with training that should be anticipated by the students, which are not covered by tuition fees. Should you require further information, contact the Program Chair. Applications to full-time day programs must be submitted with official transcripts showing completion of the academic admission requirements through:  ontariocolleges.ca 60 Corporate Court Guelph, Ontario N1G 5J3 1-888-892-2228  Applications are available online at www.ontariocolleges.ca. A $95 fee applies.  Applications for Fall Term and Winter Term admission received by February 1 will be given equal consideration. Applications received after February 1 will be processed on a first-come, first-served basis as long as places are available.  International applicants applying from out-of-country can obtain the International Student Application Form at https://algonquincollege.force.com/myACint/ or by contacting the Registrar`s Office.  For further information on the admissions process, contact:  Registrar`s Office Algonquin College 1385 Woodroffe Ave Ottawa, ON K2G 1V8 Telephone: 613-727-0002 Toll-free: 1-800-565-4723 TTY: 613-727-7766 Fax: 613-727-7632 Email: AskUs@algonquincollege.com  Programs at Algonquin College are Bring Your Own Device (BYOD). To see the BYOD requirements for your program, please visit: https://www7.algonquincollege.com/byod/. In order to apply and complete placements, candidates must be in good standing with their Base Hospital and home paramedic service throughout the entire program.  Every effort is made to accommodate student requests for hospital and paramedic placements; however, due to high demand for some venues, students may be required to complete their placements in other areas across Ottawa or Ontario.  Very specific requests for placements inside or outside the Ottawa catchment area will be reviewed on an individual basis. Students may incur additional costs and delays in graduation due to local administrative and legislative differences specific to those hospital or paramedic services.  Any additional or ancillary cost arising from special placement requests (e.g., preceptorship fees) are assumed by the student.  Students are responsible for transportation and parking costs related to the hospital clinical and paramedic placement sites.  For more information, contact Curtis Farrell, Program Coordinator, at 613-727-4723 ext. 2452 or farrelc@algonquincollege.com. ",Hospital Practicum
