institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG,Business Administration,Diploma,Aurora Campus AND Thebacha Campus AND Yellowknife / North Slave Campus,,,Practicum AND Co-op Work Placement I AND Co-op Work Placement II
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG,Office Administration,Diploma,Aurora Campus AND Thebacha Campus,,,Practicum AND Office Administration Industry Work Placement I AND Office Administration Industry Work Placement II AND Office Administration Industry Work Placement III
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=129&tp=PRG,Early Learning and Child Care Diploma ,Diploma,,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=117&tp=PRG,Environment and Natural Resources Technology Diploma,Diploma,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG,Bachelor of Education Program,Bachelor,Thebacha Campus,,,Pre-Internship Student Observations/Volunteering AND Internship I AND Internship II
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=42&tp=PRG,Bachelor of Science in Nursing,Bachelor,Yellowknife / North Slave Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG,Apprenticeship Carpenter,Apprenticeship certificate,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=113&tp=PRG,Apprenticeship Electrician,Apprenticeship certificate,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=114&tp=PRG,Apprenticeship Heavy Equipment Technician,Apprenticeship certificate,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG,Apprenticeship Housing Maintainer,Apprenticeship certificate,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=118&tp=PRG,Apprenticeship Oil Heat Systems Technician,Apprenticeship certificate,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=116&tp=PRG,Apprenticeship Plumber/Gasfitter Program,Apprenticeship certificate,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=45&tp=PRG,Building Trades Helper ,Other,,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=49&tp=PRG,Camp Cook,Other,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=70&tp=PRG,Heavy Equipment Operator ,Other,,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=128&tp=PRG,Introduction to the Mining Industry,Other,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=90&tp=PRG,Observer/Communicator Training Program,Other,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=102&tp=PRG,Underground Miner Training Program,Other,Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=124&tp=PRG,Literacy Outreach Centre,Other,Yellowknife / North Slave Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=127&tp=PRG,Occupations and College Access Program (OCAP) ,Other,,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=126&tp=PRG,University and College Access Program (UCAP),Other,Aurora Campus AND Thebacha Campus AND Yellowknife / North Slave Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=109&tp=PRG,Office Administration - Community Office Procedures Program,Certificate,Aurora Campus AND Thebacha Campus,,,Practicum
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=108&tp=PRG,Office Administration - Computers in the Workplace,Certificate,Aurora Campus AND Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG,Office Administration - Office Administration Certificate Program,Certificate,Aurora Campus AND Thebacha Campus,,,
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=51&tp=PRG,Certificate in Adult Education,Certificate,Yellowknife / North Slave Campus,,,Practicum
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=62&tp=PRG,Early Childhood Development,Certificate,Thebacha Campus,,,Field Placement I AND Field Placement II
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG,Community Health Representative,Certificate,Yellowknife / North Slave Campus,,,Consolidated Field Practicum
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=93&tp=PRG,Personal Support Worker,Certificate,Yellowknife / North Slave Campus,,,Personal Support Worker Practicum I AND Personal Support Worker Practicum III AND Personal Support Worker Practicum II
Aurora College,Northwest Territories,857e4492-aab5-e711-8111-c4346bac2a20,TRUE,www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=130&tp=PRG,Fundamentals of Carpentry 1,Certificate,Thebacha Campus,,,
